sku,descricao,categoria,unidade,peso_kg,volume_m3,fornecedor_id,custo_unitario,consumo_medio_dia,lead_time,estoque_minimo,ponto_reposicao,estoque_maximo,criticidade,controla_validade,endereco_wms,vigencia_inicio,vigencia_fim,registro_ativo,versao,curva_abc
SKU-000011,Elétrica Delectus,Elétrica,RL,1.66,0.133,FORN-00010,118.06,33.54,8,268,368,2280,Baixa,False,F-14-07-115,2026-06-07,9999-12-31 00:00:00,True,1,B
SKU-000012,Hidráulica Nobis,Hidráulica,UN,7.02,1.696,FORN-00018,194.58,2.41,22,53,60,130,Média,False,O-01-01-157,2026-06-07,9999-12-31 00:00:00,True,1,C
SKU-000013,Hidráulica Voluptates,Hidráulica,CX,44.91,1.16,FORN-00041,225.06,38.59,30,1157,1273,2314,Baixa,False,D-06-06-143,2026-06-07,9999-12-31 00:00:00,True,1,A
SKU-000014,EPI Architecto,EPI,CX,11.94,1.584,FORN-00002,67.48,16.72,16,267,317,1270,Média,True,I-15-02-056,2026-06-07,9999-12-31 00:00:00,True,1,C
SKU-000015,EPI Voluptatum,EPI,PR,6.45,0.862,FORN-00020,109.37,17.86,27,482,535,1357,Média,True,R-16-01-162,2026-06-07,9999-12-31 00:00:00,True,1,B
SKU-000016,Ferramentas Architecto,Ferramentas,UN,13.0,1.035,FORN-00001,1581.89,1.2,29,34,38,97,Baixa,False,R-14-01-151,2026-06-07,9999-12-31 00:00:00,True,1,B
SKU-000017,Elétrica Sunt,Elétrica,UN,44.77,0.147,FORN-00034,6.76,67.02,11,737,938,3015,Média,False,Z-02-05-100,2026-06-07,9999-12-31 00:00:00,True,1,C
SKU-000018,Ferramentas Nobis,Ferramentas,UN,46.56,0.03,FORN-00016,608.42,0.74,20,14,17,58,Baixa,False,V-19-07-035,2026-06-07,9999-12-31 00:00:00,True,1,C
SKU-000019,Fixação Vero,Fixação,CX,29.82,0.399,FORN-00038,48.88,72.33,9,650,867,4338,Média,False,P-28-05-175,2026-06-07,9999-12-31 00:00:00,True,1,B
SKU-000020,Pintura Vitae,Pintura,LT,0.6,0.122,FORN-00044,517.7,13.71,10,137,178,795,Média,True,H-15-05-087,2026-06-07,9999-12-31 00:00:00,True,1,A
SKU-000021,Ferramentas Molestiae,Ferramentas,CJ,15.83,1.781,FORN-00048,2135.66,1.23,27,33,36,82,Média,False,O-12-01-051,2026-06-07,9999-12-31 00:00:00,True,1,B
SKU-000022,Construção Nemo,Construção,KG,13.53,1.953,FORN-00007,91.32,17.77,30,533,586,1581,Alta,True,K-15-01-133,2026-06-07,2026-06-07 00:00:00,False,1,B
SKU-000022,Construção Nemo,Construção,KG,13.53,1.953,FORN-00007,93.1,17.77,30,533,586,1581,Alta,True,K-15-01-133,2026-06-07,9999-12-31 00:00:00,True,2,B
SKU-000023,Pintura Nesciunt,Pintura,GL,30.72,0.958,FORN-00048,716.21,2.07,32,66,72,175,Média,True,V-22-05-081,2026-06-07,9999-12-31 00:00:00,True,1,B
SKU-000024,Ferramentas Dicta,Ferramentas,CJ,36.83,1.674,FORN-00035,344.24,1.43,31,44,48,98,Baixa,False,Z-24-06-039,2026-06-07,9999-12-31 00:00:00,True,1,C
SKU-000025,Pintura Asperiores,Pintura,GL,16.8,0.878,FORN-00034,577.32,3.43,15,51,61,181,Baixa,True,I-05-03-065,2026-06-07,9999-12-31 00:00:00,True,1,B
SKU-000026,Construção Hic,Construção,SC,25.06,1.556,FORN-00018,258.36,39.41,18,709,827,2600,Média,True,X-06-02-024,2026-06-07,9999-12-31 00:00:00,True,1,A
SKU-000027,Elétrica Ipsum,Elétrica,M,24.99,0.928,FORN-00039,490.92,79.97,15,1199,1439,3758,Média,False,D-18-06-061,2026-06-07,2026-06-07 00:00:00,False,1,A
SKU-000027,Elétrica Ipsum,Elétrica,M,24.99,0.928,FORN-00039,479.81,79.97,15,1199,1439,3758,Média,False,D-18-06-061,2026-06-07,9999-12-31 00:00:00,True,2,A
SKU-000028,Construção Ipsa,Construção,M3,22.81,0.537,FORN-00005,247.66,19.32,20,386,444,1448,Baixa,True,Y-23-02-160,2026-06-07,9999-12-31 00:00:00,True,1,A
SKU-000029,EPI Aliquid,EPI,UN,18.58,1.248,FORN-00041,29.46,12.49,28,349,387,761,Média,True,K-04-07-181,2026-06-07,2026-06-07 00:00:00,False,1,C
SKU-000029,EPI Aliquid,EPI,UN,18.58,1.248,FORN-00041,30.91,12.49,28,349,387,761,Média,True,K-04-07-181,2026-06-07,9999-12-31 00:00:00,True,2,C
SKU-000030,Ferramentas Minima,Ferramentas,UN,34.69,1.729,FORN-00023,2995.01,1.02,21,21,24,66,Média,False,W-19-01-094,2026-06-07,9999-12-31 00:00:00,True,1,B
SKU-000031,Ferramentas Nostrum,Ferramentas,CJ,27.32,1.539,FORN-00035,1056.09,1.68,30,50,55,118,Baixa,False,A-05-05-170,2026-06-07,9999-12-31 00:00:00,True,1,B
SKU-000032,Elétrica Incidunt,Elétrica,RL,19.11,0.404,FORN-00018,63.91,78.85,19,1498,1734,4967,Média,False,S-10-05-073,2026-06-07,9999-12-31 00:00:00,True,1,A
SKU-000033,Hidráulica Sint,Hidráulica,CX,7.96,0.19,FORN-00040,187.38,12.05,12,144,180,722,Baixa,False,U-11-06-137,2026-06-07,2026-06-07 00:00:00,False,1,B
SKU-000033,Hidráulica Sint,Hidráulica,CX,7.96,0.19,FORN-00040,189.25,12.05,12,144,180,722,Baixa,False,U-11-06-137,2026-06-07,9999-12-31 00:00:00,True,2,B
SKU-000034,Hidráulica Deleniti,Hidráulica,CX,18.18,0.029,FORN-00042,230.14,28.18,13,366,450,1605,Baixa,False,H-13-03-058,2026-06-07,2026-06-07 00:00:00,False,1,A
SKU-000034,Hidráulica Deleniti,Hidráulica,CX,18.18,0.029,FORN-00042,233.59,28.18,13,366,450,1605,Baixa,False,H-13-03-058,2026-06-07,9999-12-31 00:00:00,True,2,A
SKU-000035,Fixação Dolorum,Fixação,CX,40.95,0.472,FORN-00025,26.24,276.01,31,8556,9384,24012,Média,False,L-20-02-186,2026-06-07,9999-12-31 00:00:00,True,1,A
SKU-000036,Construção Autem,Construção,SC,47.44,1.738,FORN-00027,27.34,31.55,8,252,347,1987,Média,True,N-27-07-132,2026-06-07,2026-06-07 00:00:00,False,1,C
SKU-000036,Construção Autem,Construção,SC,47.44,1.738,FORN-00027,26.7,31.55,8,252,347,1987,Média,True,N-27-07-132,2026-06-07,9999-12-31 00:00:00,True,2,C
SKU-000037,EPI Ab,EPI,UN,15.73,1.302,FORN-00031,120.15,25.86,25,646,724,1602,Baixa,True,Y-15-05-114,2026-06-07,9999-12-31 00:00:00,True,1,B
SKU-000038,Ferramentas Dolorum,Ferramentas,UN,21.48,0.565,FORN-00012,1996.34,0.89,28,24,27,72,Média,False,P-14-02-028,2026-06-07,9999-12-31 00:00:00,True,1,B
SKU-000039,Ferramentas Repellendus,Ferramentas,UN,36.96,1.322,FORN-00010,1338.77,1.4,7,9,14,62,Baixa,False,I-12-08-027,2026-06-07,9999-12-31 00:00:00,True,1,B
SKU-000040,EPI Minima,EPI,UN,21.26,1.667,FORN-00002,112.92,19.24,14,269,327,1019,Alta,True,L-30-05-099,2026-06-07,2026-06-07 00:00:00,False,1,B
SKU-000040,EPI Minima,EPI,UN,21.26,1.667,FORN-00002,111.06,19.24,14,269,327,1019,Alta,True,L-30-05-099,2026-06-07,9999-12-31 00:00:00,True,2,B
SKU-000041,Fixação Voluptas,Fixação,CX,36.77,1.681,FORN-00023,22.42,127.49,20,2549,2932,9178,Média,False,O-07-08-047,2026-06-07,9999-12-31 00:00:00,True,1,B
SKU-000042,Construção Doloribus,Construção,M3,4.32,0.972,FORN-00024,196.86,41.54,7,290,415,1660,Baixa,True,C-14-04-126,2026-06-07,9999-12-31 00:00:00,True,1,A
SKU-000043,Elétrica Illo,Elétrica,RL,22.24,1.014,FORN-00020,457.57,91.06,28,2549,2822,5371,Baixa,False,A-25-05-105,2026-06-07,9999-12-31 00:00:00,True,1,A
SKU-000044,Elétrica Ipsam,Elétrica,RL,39.03,1.017,FORN-00045,85.75,12.1,22,266,302,871,Baixa,False,S-06-07-022,2026-06-07,9999-12-31 00:00:00,True,1,C
SKU-000045,Fixação Deserunt,Fixação,CX,34.79,1.371,FORN-00001,45.49,178.06,27,4807,5341,12641,Baixa,False,S-09-06-154,2026-06-07,9999-12-31 00:00:00,True,1,A
SKU-000046,Elétrica Dicta,Elétrica,RL,34.26,0.453,FORN-00038,448.99,8.82,7,61,88,449,Baixa,False,B-27-01-104,2026-06-07,9999-12-31 00:00:00,True,1,B
SKU-000047,Construção Blanditiis,Construção,KG,22.36,1.478,FORN-00039,211.02,37.25,12,447,558,1862,Média,True,L-07-02-198,2026-06-07,9999-12-31 00:00:00,True,1,A
SKU-000048,Hidráulica Excepturi,Hidráulica,UN,47.07,0.991,FORN-00004,206.18,22.5,26,585,652,1282,Média,False,J-10-05-134,2026-06-07,9999-12-31 00:00:00,True,1,A
SKU-000049,Hidráulica Dicta,Hidráulica,CX,11.43,1.489,FORN-00048,177.83,22.33,29,647,714,1406,Média,False,W-02-05-174,2026-06-07,9999-12-31 00:00:00,True,1,B
SKU-000050,Elétrica Non,Elétrica,M,28.77,0.297,FORN-00050,480.78,54.8,29,1589,1753,3561,Média,False,J-09-01-073,2026-06-07,9999-12-31 00:00:00,True,1,A
SKU-000051,Construção Dolores,Construção,KG,20.94,0.979,FORN-00009,56.57,20.93,22,460,523,1485,Baixa,True,S-16-05-115,2026-06-07,9999-12-31 00:00:00,True,1,C
SKU-000052,Ferramentas Ad,Ferramentas,CJ,14.5,1.17,FORN-00035,2059.31,0.35,32,11,12,23,Alta,False,Y-11-01-088,2026-06-07,9999-12-31 00:00:00,True,1,C
SKU-000053,Construção Vitae,Construção,KG,18.57,0.083,FORN-00008,180.16,32.64,28,913,1011,2349,Baixa,True,W-19-05-168,2026-06-07,2026-06-07 00:00:00,False,1,A
SKU-000053,Construção Vitae,Construção,KG,18.57,0.083,FORN-00008,176.87,32.64,28,913,1011,2349,Baixa,True,W-19-05-168,2026-06-07,9999-12-31 00:00:00,True,2,A
SKU-000054,Elétrica Quo,Elétrica,UN,43.13,0.534,FORN-00047,224.96,92.76,27,2504,2782,6492,Média,False,A-16-03-181,2026-06-07,9999-12-31 00:00:00,True,1,A
SKU-000055,Hidráulica Quae,Hidráulica,CX,34.28,0.836,FORN-00023,165.05,33.02,25,825,924,2542,Alta,False,I-20-07-020,2026-06-07,2026-06-07 00:00:00,False,1,A
SKU-000055,Hidráulica Quae,Hidráulica,CX,34.28,0.836,FORN-00023,165.93,33.02,25,825,924,2542,Alta,False,I-20-07-020,2026-06-07,9999-12-31 00:00:00,True,2,A
SKU-000056,Construção Hic,Construção,SC,47.94,0.167,FORN-00035,203.1,30.72,30,921,1013,2088,Média,True,Y-26-04-159,2026-06-07,9999-12-31 00:00:00,True,1,A
SKU-000057,Fixação Autem,Fixação,MIL,9.25,0.545,FORN-00018,2.13,63.08,21,1324,1513,3531,Média,False,M-17-05-053,2026-06-07,9999-12-31 00:00:00,True,1,C
SKU-000058,Hidráulica Perspiciatis,Hidráulica,UN,28.73,0.464,FORN-00005,176.74,33.81,19,642,743,2129,Média,False,C-24-03-029,2026-06-07,9999-12-31 00:00:00,True,1,A
SKU-000059,Elétrica Cumque,Elétrica,RL,9.46,0.935,FORN-00026,232.47,95.55,22,2102,2388,6592,Média,False,V-10-03-095,2026-06-07,2026-06-07 00:00:00,False,1,A
SKU-000059,Elétrica Cumque,Elétrica,RL,9.46,0.935,FORN-00026,228.14,95.55,22,2102,2388,6592,Média,False,V-10-03-095,2026-06-07,9999-12-31 00:00:00,True,2,A
SKU-000060,EPI Error,EPI,CX,14.91,1.714,FORN-00013,33.02,21.07,23,484,547,1242,Baixa,True,S-12-02-107,2026-06-07,9999-12-31 00:00:00,True,1,C
SKU-000061,Elétrica Delectus,Elétrica,M,41.65,0.147,FORN-00038,439.73,27.33,9,245,327,1529,Alta,False,I-15-06-097,2026-06-07,9999-12-31 00:00:00,True,1,A
SKU-000062,EPI Libero,EPI,PR,9.53,1.461,FORN-00050,113.61,22.55,30,676,744,1668,Baixa,True,D-08-01-012,2026-06-07,9999-12-31 00:00:00,True,1,B
SKU-000063,Hidráulica Culpa,Hidráulica,M,23.36,0.127,FORN-00018,138.86,30.66,19,582,674,1624,Baixa,False,R-02-04-050,2026-06-07,9999-12-31 00:00:00,True,1,A
SKU-000064,Elétrica Pariatur,Elétrica,RL,16.03,1.014,FORN-00018,288.18,55.22,19,1049,1214,3810,Média,False,V-14-05-177,2026-06-07,9999-12-31 00:00:00,True,1,A
SKU-000065,Construção Sed,Construção,M3,10.55,0.497,FORN-00014,152.91,11.99,19,227,263,634,Média,True,D-05-08-026,2026-06-07,2026-06-07 00:00:00,False,1,B
SKU-000065,Construção Sed,Construção,M3,10.55,0.497,FORN-00014,152.72,11.99,19,227,263,634,Média,True,D-05-08-026,2026-06-07,9999-12-31 00:00:00,True,2,B
SKU-000066,Hidráulica Rem,Hidráulica,M,41.76,1.734,FORN-00032,244.2,17.38,21,364,417,1093,Média,False,P-01-03-177,2026-06-07,9999-12-31 00:00:00,True,1,A
SKU-000067,Fixação Provident,Fixação,CX,19.84,1.252,FORN-00032,24.39,303.87,20,6077,6989,22182,Baixa,False,C-27-01-077,2026-06-07,9999-12-31 00:00:00,True,1,A
SKU-000068,Fixação Sit,Fixação,MIL,5.81,0.33,FORN-00033,37.41,365.83,35,12804,13901,24144,Baixa,False,G-09-08-147,2026-06-07,9999-12-31 00:00:00,True,1,A
SKU-000069,EPI Dolorem,EPI,UN,32.92,0.842,FORN-00034,113.71,23.73,10,237,308,1518,Baixa,True,N-17-01-144,2026-06-07,9999-12-31 00:00:00,True,1,B
SKU-000070,Fixação Sed,Fixação,CX,25.36,0.023,FORN-00018,44.92,55.37,18,996,1162,3155,Alta,False,E-06-04-033,2026-06-07,9999-12-31 00:00:00,True,1,B
SKU-000071,Elétrica Quo,Elétrica,RL,29.5,1.972,FORN-00033,78.87,14.59,30,437,481,962,Baixa,False,H-19-06-172,2026-06-07,9999-12-31 00:00:00,True,1,C
SKU-000072,Fixação Quos,Fixação,CX,30.95,0.613,FORN-00031,5.67,381.19,27,10292,11435,24014,Média,False,U-25-02-073,2026-06-07,9999-12-31 00:00:00,True,1,B
SKU-000073,EPI A,EPI,CX,37.24,0.189,FORN-00036,103.74,28.0,14,392,476,1876,Média,True,F-11-05-079,2026-06-07,2026-06-07 00:00:00,False,1,B
SKU-000073,EPI A,EPI,CX,37.24,0.189,FORN-00036,107.07,28.0,14,392,476,1876,Média,True,F-11-05-079,2026-06-07,9999-12-31 00:00:00,True,2,B
SKU-000074,Fixação Illo,Fixação,MIL,13.38,1.781,FORN-00037,24.46,322.75,25,8068,9037,26142,Baixa,False,G-28-06-084,2026-06-07,9999-12-31 00:00:00,True,1,A
SKU-000075,EPI Mollitia,EPI,CX,11.92,1.97,FORN-00005,121.72,23.75,16,380,451,1187,Média,True,N-16-01-039,2026-06-07,9999-12-31 00:00:00,True,1,B
SKU-000076,Pintura Asperiores,Pintura,GL,4.46,0.925,FORN-00012,492.48,7.24,29,209,231,469,Baixa,True,X-11-04-078,2026-06-07,9999-12-31 00:00:00,True,1,B
SKU-000077,Construção Voluptatem,Construção,KG,43.31,1.866,FORN-00048,288.29,48.91,30,1467,1614,4010,Média,True,U-29-06-120,2026-06-07,9999-12-31 00:00:00,True,1,A
SKU-000078,Fixação Odit,Fixação,CX,49.07,0.071,FORN-00013,5.91,327.37,22,7202,8184,22261,Alta,False,Y-14-03-168,2026-06-07,2026-06-07 00:00:00,False,1,B
SKU-000078,Fixação Odit,Fixação,CX,49.07,0.071,FORN-00013,5.67,327.37,22,7202,8184,22261,Alta,False,Y-14-03-168,2026-06-07,9999-12-31 00:00:00,True,2,B
SKU-000079,Fixação Saepe,Fixação,CX,31.05,1.185,FORN-00005,33.47,196.41,18,3535,4124,14926,Média,False,Y-02-08-069,2026-06-07,9999-12-31 00:00:00,True,1,A
SKU-000080,Hidráulica Itaque,Hidráulica,M,15.86,1.245,FORN-00004,169.84,15.49,29,449,495,975,Baixa,False,I-19-06-138,2026-06-07,9999-12-31 00:00:00,True,1,B
SKU-000081,Fixação Velit,Fixação,MIL,45.96,1.603,FORN-00008,7.74,166.26,27,4489,4987,10474,Baixa,False,P-02-07-035,2026-06-07,9999-12-31 00:00:00,True,1,C
SKU-000082,Fixação Sequi,Fixação,MIL,11.02,0.551,FORN-00004,13.0,163.0,26,4238,4727,12388,Média,False,U-04-01-111,2026-06-07,9999-12-31 00:00:00,True,1,B
SKU-000083,Hidráulica Deleniti,Hidráulica,M,13.67,1.859,FORN-00049,207.45,39.94,18,718,838,2155,Média,False,S-02-08-093,2026-06-07,9999-12-31 00:00:00,True,1,A
SKU-000084,Fixação Laudantium,Fixação,MIL,3.01,0.161,FORN-00023,25.16,215.87,25,5396,6044,16837,Média,False,Z-03-08-080,2026-06-07,9999-12-31 00:00:00,True,1,A
SKU-000085,EPI Voluptates,EPI,CX,7.35,1.233,FORN-00030,105.72,12.62,11,138,176,592,Baixa,True,M-13-03-072,2026-06-07,9999-12-31 00:00:00,True,1,C
SKU-000086,Pintura Id,Pintura,GL,36.09,0.865,FORN-00023,32.6,2.05,24,49,55,157,Média,True,Z-17-02-068,2026-06-07,2026-06-07 00:00:00,False,1,C
SKU-000086,Pintura Id,Pintura,GL,36.09,0.865,FORN-00023,32.32,2.05,24,49,55,157,Média,True,Z-17-02-068,2026-06-07,9999-12-31 00:00:00,True,2,C
SKU-000087,EPI Porro,EPI,PR,21.6,0.073,FORN-00040,52.44,13.87,13,180,221,693,Média,True,H-01-06-062,2026-06-07,2026-06-07 00:00:00,False,1,C
SKU-000087,EPI Porro,EPI,PR,21.6,0.073,FORN-00040,53.08,13.87,13,180,221,693,Média,True,H-01-06-062,2026-06-07,9999-12-31 00:00:00,True,2,C
SKU-000088,Pintura Dolore,Pintura,LT,5.85,0.119,FORN-00021,181.56,18.98,30,569,626,1195,Alta,True,H-29-05-047,2026-06-07,9999-12-31 00:00:00,True,1,B
SKU-000089,Ferramentas Recusandae,Ferramentas,UN,46.54,1.459,FORN-00023,2219.03,0.64,22,14,16,48,Média,False,P-19-08-008,2026-06-07,2026-06-07 00:00:00,False,1,C
SKU-000089,Ferramentas Recusandae,Ferramentas,UN,46.54,1.459,FORN-00023,2171.57,0.64,22,14,16,48,Média,False,P-19-08-008,2026-06-07,9999-12-31 00:00:00,True,2,C
SKU-000090,EPI Dolorem,EPI,UN,13.86,0.925,FORN-00028,24.16,29.09,24,698,785,1599,Média,True,H-23-02-130,2026-06-07,9999-12-31 00:00:00,True,1,C
SKU-000091,Construção Labore,Construção,M3,40.86,1.516,FORN-00010,100.69,42.59,11,468,596,2640,Baixa,True,I-24-08-089,2026-06-07,9999-12-31 00:00:00,True,1,A
SKU-000092,EPI Voluptatem,EPI,CX,34.26,0.068,FORN-00003,99.99,12.76,9,114,153,752,Média,True,S-05-08-135,2026-06-07,9999-12-31 00:00:00,True,1,C
SKU-000093,Pintura Sed,Pintura,LT,41.05,1.061,FORN-00035,434.39,6.97,34,236,257,472,Média,True,D-13-08-035,2026-06-07,9999-12-31 00:00:00,True,1,B
SKU-000094,Ferramentas Autem,Ferramentas,CJ,48.57,0.933,FORN-00043,2882.12,0.29,9,2,3,18,Baixa,False,D-05-04-175,2026-06-07,9999-12-31 00:00:00,True,1,C
SKU-000095,Hidráulica Nam,Hidráulica,UN,22.78,0.906,FORN-00018,244.91,9.91,23,227,257,643,Média,False,N-15-01-071,2026-06-07,2026-06-07 00:00:00,False,1,B
SKU-000095,Hidráulica Nam,Hidráulica,UN,22.78,0.906,FORN-00018,252.16,9.91,23,227,257,643,Média,False,N-15-01-071,2026-06-07,9999-12-31 00:00:00,True,2,B
SKU-000096,EPI Quo,EPI,CX,36.53,1.617,FORN-00008,135.04,5.62,26,146,162,460,Média,True,L-14-05-006,2026-06-07,9999-12-31 00:00:00,True,1,C
SKU-000097,Hidráulica Quia,Hidráulica,UN,2.37,0.001,FORN-00041,116.18,38.72,30,1161,1277,2632,Baixa,False,F-30-06-197,2026-06-07,9999-12-31 00:00:00,True,1,A
SKU-000098,Elétrica Recusandae,Elétrica,M,20.15,1.002,FORN-00048,260.02,36.79,29,1066,1177,2831,Baixa,False,G-24-05-182,2026-06-07,9999-12-31 00:00:00,True,1,A
SKU-000099,Pintura Occaecati,Pintura,LT,28.16,0.642,FORN-00034,541.27,11.02,14,154,187,705,Baixa,True,E-25-08-009,2026-06-07,9999-12-31 00:00:00,True,1,A
SKU-000100,Fixação Laudantium,Fixação,CX,13.96,1.828,FORN-00039,19.54,57.49,16,919,1092,4138,Baixa,False,M-07-08-072,2026-06-07,9999-12-31 00:00:00,True,1,C
SKU-000101,Elétrica Ducimus,Elétrica,UN,41.81,1.062,FORN-00030,118.59,9.4,14,131,159,619,Baixa,False,D-29-02-136,2026-06-07,9999-12-31 00:00:00,True,1,C
SKU-000102,Hidráulica Similique,Hidráulica,M,22.54,0.037,FORN-00027,143.16,5.27,10,52,68,347,Baixa,False,J-18-01-074,2026-06-07,9999-12-31 00:00:00,True,1,C
SKU-000103,Ferramentas Quae,Ferramentas,CJ,41.43,0.939,FORN-00029,1010.65,1.84,27,49,55,135,Baixa,False,G-06-08-145,2026-06-07,2026-06-07 00:00:00,False,1,B
SKU-000103,Ferramentas Quae,Ferramentas,CJ,41.43,0.939,FORN-00029,1060.63,1.84,27,49,55,135,Baixa,False,G-06-08-145,2026-06-07,9999-12-31 00:00:00,True,2,B
SKU-000104,Hidráulica Hic,Hidráulica,M,19.97,1.491,FORN-00033,137.86,39.36,32,1259,1377,2794,Baixa,False,J-14-03-097,2026-06-07,9999-12-31 00:00:00,True,1,A
SKU-000105,Elétrica Non,Elétrica,M,29.38,1.02,FORN-00007,321.97,45.83,32,1466,1604,3574,Média,False,R-23-08-132,2026-06-07,9999-12-31 00:00:00,True,1,A
SKU-000106,Pintura Error,Pintura,LT,39.62,0.118,FORN-00002,494.37,8.77,18,157,184,455,Baixa,True,Z-06-03-015,2026-06-07,9999-12-31 00:00:00,True,1,A
SKU-000107,Pintura Dicta,Pintura,GL,45.37,0.385,FORN-00049,798.17,4.85,21,101,116,251,Baixa,True,I-29-06-037,2026-06-07,9999-12-31 00:00:00,True,1,B
SKU-000108,Construção Enim,Construção,SC,39.14,0.436,FORN-00011,257.91,49.19,21,1032,1180,3934,Média,True,D-28-06-006,2026-06-07,9999-12-31 00:00:00,True,1,A
SKU-000109,EPI Minus,EPI,PR,12.2,0.259,FORN-00025,102.6,10.57,31,327,359,855,Baixa,True,B-08-07-168,2026-06-07,9999-12-31 00:00:00,True,1,C
SKU-000110,Fixação Fugit,Fixação,MIL,36.63,1.631,FORN-00028,7.0,87.27,24,2094,2356,6719,Alta,False,S-06-08-130,2026-06-07,9999-12-31 00:00:00,True,1,C
SKU-000111,EPI Incidunt,EPI,PR,44.13,1.42,FORN-00038,24.75,13.45,8,107,147,887,Média,True,V-09-07-140,2026-06-07,2026-06-07 00:00:00,False,1,C
SKU-000111,EPI Incidunt,EPI,PR,44.13,1.42,FORN-00038,25.39,13.45,8,107,147,887,Média,True,V-09-07-140,2026-06-07,9999-12-31 00:00:00,True,2,C
SKU-000112,Hidráulica Aliquam,Hidráulica,CX,0.2,1.723,FORN-00027,20.55,2.83,6,16,25,146,Alta,False,N-29-05-095,2026-06-07,9999-12-31 00:00:00,True,1,C
SKU-000113,EPI Eos,EPI,PR,28.64,0.352,FORN-00008,106.33,28.45,26,739,825,2047,Média,True,P-15-05-008,2026-06-07,9999-12-31 00:00:00,True,1,B
SKU-000114,Hidráulica Velit,Hidráulica,CX,46.85,0.77,FORN-00020,85.92,7.32,30,219,241,453,Média,False,F-04-02-183,2026-06-07,2026-06-07 00:00:00,False,1,C
SKU-000114,Hidráulica Velit,Hidráulica,CX,46.85,0.77,FORN-00020,85.24,7.32,30,219,241,453,Média,False,F-04-02-183,2026-06-07,9999-12-31 00:00:00,True,2,C
SKU-000115,Elétrica Impedit,Elétrica,UN,49.41,1.199,FORN-00019,80.32,61.19,17,1040,1223,3365,Média,False,P-02-02-185,2026-06-07,2026-06-07 00:00:00,False,1,A
SKU-000115,Elétrica Impedit,Elétrica,UN,49.41,1.199,FORN-00019,79.37,61.19,17,1040,1223,3365,Média,False,P-02-02-185,2026-06-07,9999-12-31 00:00:00,True,2,A
SKU-000116,Fixação Iure,Fixação,CX,2.92,1.886,FORN-00036,1.67,420.84,12,5050,6312,18937,Baixa,False,E-30-07-036,2026-06-07,9999-12-31 00:00:00,True,1,C
SKU-000117,Ferramentas At,Ferramentas,UN,7.23,1.17,FORN-00045,110.46,1.69,21,35,40,121,Média,False,C-07-04-102,2026-06-07,9999-12-31 00:00:00,True,1,C
SKU-000118,Hidráulica Voluptate,Hidráulica,CX,4.28,0.762,FORN-00012,85.58,26.01,29,754,832,1846,Baixa,False,K-15-03-041,2026-06-07,9999-12-31 00:00:00,True,1,B
SKU-000119,Ferramentas Eum,Ferramentas,CJ,15.3,1.214,FORN-00023,545.85,1.83,22,40,45,102,Baixa,False,M-14-08-062,2026-06-07,9999-12-31 00:00:00,True,1,C
SKU-000120,Fixação Nesciunt,Fixação,MIL,8.46,1.48,FORN-00014,21.38,133.54,17,2270,2670,7745,Baixa,False,N-16-07-163,2026-06-07,9999-12-31 00:00:00,True,1,B
