data,deposito,sku,saldo_disponivel,saldo_quarentena,saldo_rejeitado,saldo_total
2026-03-10,DEP-001,SKU-000050,3138,0,0,3138
2026-03-10,DEP-001,SKU-000051,1467,0,0,1467
2026-03-10,DEP-001,SKU-000052,19,0,0,19
2026-03-10,DEP-001,SKU-000053,2159,0,0,2159
2026-03-10,,SKU-000054,5656,0,0,5656
2026-03-10,DEP-001,SKU-000055,2353,0,0,2353
2026-03-10,DEP-001,SKU-000056,1882,0,0,1882
2026-03-10,DEP-001,SKU-000057,3463,0,0,3463
2026-03-10,DEP-001,SKU-000058,1945,0,0,1945
2026-03-10,DEP-001,SKU-000059,5784,0,0,5784
2026-03-10,,SKU-000060,1052,0,0,1052
2026-03-10,DEP-001,SKU-000061,1370,0,0,1370
2026-03-10,DEP-001,SKU-000062,1626,0,0,1626
2026-03-10,DEP-001,SKU-000063,1394,0,0,1394
2026-03-10,DEP-001,SKU-000064,3524,0,0,3524
2026-03-10,DEP-001,SKU-000065,573,0,0,573
2026-03-10,DEP-001,SKU-000066,857,0,0,857
2026-03-10,DEP-001,SKU-000067,18312,0,0,18312
2026-03-10,DEP-001,SKU-000068,23134,0,0,23134
2026-03-10,DEP-001,SKU-000069,1464,0,0,1464
2026-03-10,DEP-001,SKU-000070,3016,0,0,3016
2026-03-10,DEP-001,SKU-000071,896,0,0,896
2026-03-10,DEP-001,SKU-000072,19850,0,0,19850
2026-03-10,DEP-001,SKU-000073,1514,0,0,1514
2026-03-10,DEP-001,SKU-000074,22942,0,0,22942
2026-03-10,DEP-001,SKU-000075,1090,0,0,1090
2026-03-10,DEP-001,SKU-000076,406,0,0,406
2026-03-10,DEP-001,SKU-000077,3555,0,0,3555
2026-03-10,DEP-001,SKU-000078,20217,0,0,20217
2026-03-10,DEP-001,SKU-000079,12598,0,0,12598
2026-03-10,DEP-001,SKU-000080,779,0,0,779
2026-03-10,DEP-001,SKU-000081,8589,0,0,8589
2026-03-10,DEP-001,SKU-000082,11870,0,0,11870
2026-03-10,DEP-001,SKU-000083,1673,0,0,1673
2026-03-10,DEP-001,SKU-000084,14684,0,0,14684
2026-03-10,DEP-001,SKU-000085,496,0,0,496
2026-03-10,DEP-001,SKU-000086,130,0,0,130
2026-03-10,DEP-001,SKU-000087,549,0,0,549
2026-03-10,DEP-001,SKU-000088,1065,0,0,1065
2026-03-10,DEP-001,SKU-000089,39,0,0,39
2026-03-10,DEP-001,SKU-000090,1528,0,0,1528
2026-03-10,DEP-001,SKU-000091,2326,0,0,2326
2026-03-10,DEP-001,SKU-000092,706,0,0,706
2026-03-10,DEP-001,SKU-000093,445,0,0,445
2026-03-10,DEP-001,,14,0,0,14
2026-03-10,DEP-001,SKU-000095,567,0,0,567
2026-03-10,DEP-001,SKU-000096,449,0,0,449
2026-03-10,DEP-001,SKU-000097,2307,0,0,2307
2026-03-10,DEP-001,SKU-000098,2319,0,0,2319
2026-03-10,DEP-001,SKU-000099,659,0,0,659
2026-03-10,DEP-001,SKU-000100,3571,0,0,3571
2026-03-10,,SKU-000101,605,0,0,605
2026-03-10,DEP-001,SKU-000102,293,0,0,293
2026-03-10,DEP-001,SKU-000103,120,0,0,120
2026-03-10,DEP-001,SKU-000104,2649,0,0,2649
2026-03-10,DEP-001,SKU-000105,3208,0,0,3208
2026-03-10,DEP-001,SKU-000106,381,0,0,381
2026-03-10,DEP-001,SKU-000107,210,0,0,210
2026-03-10,DEP-001,,3351,0,0,3351
2026-03-10,DEP-001,SKU-000109,785,0,0,785
2026-03-10,DEP-001,SKU-000110,6508,0,0,6508
2026-03-10,DEP-001,SKU-000111,715,0,0,715
2026-03-10,DEP-001,SKU-000112,128,0,0,128
2026-03-10,DEP-001,,1694,0,0,1694
2026-03-10,DEP-001,SKU-000114,413,0,0,413
2026-03-10,DEP-001,SKU-000115,2748,0,0,2748
2026-03-10,DEP-001,SKU-000116,16042,0,0,16042
2026-03-10,DEP-001,,118,0,0,118
2026-03-10,DEP-001,SKU-000118,1717,0,0,1717
2026-03-10,DEP-001,SKU-000119,85,0,0,85
2026-03-10,DEP-001,SKU-000120,7545,0,0,7545
2026-03-10,DEP-001,SKU-000121,292,0,0,292
2026-03-10,DEP-001,SKU-000122,9306,0,0,9306
2026-03-10,DEP-001,SKU-000123,1110,0,0,1110
2026-03-10,DEP-001,SKU-000124,1144,0,0,1144
2026-03-10,DEP-001,SKU-000125,28,0,0,28
2026-03-10,DEP-001,SKU-000126,1427,0,0,1427
2026-03-10,DEP-001,SKU-000127,1662,0,0,1662
2026-03-10,DEP-001,SKU-000128,3210,0,0,3210
2026-03-10,,SKU-000129,14471,0,0,14471
2026-03-10,DEP-001,SKU-000130,951,0,0,951
2026-03-10,DEP-001,SKU-000131,351,0,0,351
2026-03-10,DEP-001,SKU-000132,1065,0,0,1065
2026-03-10,DEP-001,SKU-000133,553,0,0,553
2026-03-10,DEP-001,SKU-000134,451,0,0,451
2026-03-10,DEP-001,SKU-000135,243,0,0,243
2026-03-10,DEP-001,SKU-000136,819,0,0,819
2026-03-10,DEP-001,SKU-000137,22831,0,0,22831
2026-03-10,DEP-001,SKU-000138,1007,0,0,1007
2026-03-10,DEP-001,SKU-000139,26,0,0,26
2026-03-10,DEP-001,SKU-000140,6780,0,0,6780
2026-03-10,DEP-001,SKU-000141,1376,0,0,1376
2026-03-10,DEP-001,SKU-000142,311,0,0,311
2026-03-10,DEP-001,SKU-000143,750,0,0,750
2026-03-10,DEP-001,SKU-000144,1984,0,0,1984
2026-03-10,DEP-001,SKU-000145,1864,0,0,1864
2026-03-10,DEP-001,SKU-000146,1067,0,0,1067
2026-03-10,DEP-001,SKU-000147,65,0,0,65
2026-03-10,DEP-001,SKU-000148,16777,0,0,16777
2026-03-10,DEP-001,SKU-000149,2031,0,0,2031
2026-03-10,DEP-001,SKU-000150,3726,0,0,3726
2026-03-10,DEP-001,SKU-000151,1363,0,0,1363
2026-03-10,DEP-001,SKU-000152,3794,0,0,3794
2026-03-10,DEP-001,SKU-000153,67,0,0,67
2026-03-10,DEP-001,SKU-000154,2639,0,0,2639
2026-03-10,DEP-001,SKU-000155,25267,0,0,25267
2026-03-10,DEP-001,SKU-000156,601,0,0,601
2026-03-10,DEP-001,SKU-000157,668,0,0,668
2026-03-10,DEP-001,SKU-000158,1049,0,0,1049
2026-03-10,DEP-001,SKU-000159,2017,0,0,2017
2026-03-10,DEP-001,SKU-000160,2513,0,0,2513
2026-03-10,DEP-001,SKU-000161,11131,0,0,11131
2026-03-10,DEP-001,,323,0,0,323
2026-03-10,DEP-001,SKU-000163,720,0,0,720
2026-03-10,DEP-001,SKU-000164,23837,0,0,23837
2026-03-10,DEP-001,SKU-000165,668,0,0,668
2026-03-10,DEP-001,SKU-000166,1019,0,0,1019
2026-03-10,DEP-001,SKU-000167,957,0,0,957
2026-03-10,DEP-001,SKU-000168,3114,0,0,3114
2026-03-10,DEP-001,SKU-000169,75,0,0,75
2026-03-10,DEP-001,SKU-000170,1042,0,0,1042
2026-03-10,DEP-001,SKU-000171,20859,0,0,20859
2026-03-10,DEP-001,SKU-000172,907,0,0,907
2026-03-10,DEP-001,SKU-000173,1591,0,0,1591
2026-03-10,DEP-001,SKU-000174,3704,0,0,3704
2026-03-10,DEP-001,SKU-000175,11792,0,0,11792
2026-03-10,DEP-001,SKU-000176,1842,0,0,1842
2026-03-10,DEP-001,SKU-000177,2132,0,0,2132
2026-03-10,DEP-001,,639,0,0,639
2026-03-10,DEP-001,SKU-000179,1226,0,0,1226
2026-03-10,DEP-001,SKU-000180,3715,0,0,3715
2026-03-10,,SKU-000181,3564,0,0,3564
2026-03-10,DEP-001,SKU-000182,578,0,0,578
2026-03-10,DEP-001,SKU-000183,1056,0,0,1056
2026-03-10,DEP-001,SKU-000184,524,0,0,524
2026-03-10,DEP-001,SKU-000185,95,0,0,95
2026-03-10,DEP-001,SKU-000186,2868,0,0,2868
2026-03-10,DEP-001,SKU-000187,1737,0,0,1737
2026-03-10,DEP-001,SKU-000188,78,0,0,78
2026-03-10,DEP-001,SKU-000189,23140,0,0,23140
2026-03-10,DEP-001,SKU-000190,92,0,0,92
2026-03-10,DEP-001,SKU-000191,857,0,0,857
2026-03-10,DEP-001,SKU-000192,1222,0,0,1222
2026-03-10,DEP-001,SKU-000193,1657,0,0,1657
2026-03-10,DEP-001,SKU-000194,1820,0,0,1820
2026-03-10,DEP-001,SKU-000195,2429,0,0,2429
2026-03-10,DEP-001,SKU-000196,2269,0,0,2269
2026-03-10,DEP-001,SKU-000197,2026,0,0,2026
2026-03-10,DEP-001,SKU-000198,76,0,0,76
2026-03-10,DEP-001,SKU-000199,2145,0,0,2145
2026-03-10,DEP-001,SKU-000200,879,0,0,879
2026-03-10,,SKU-000001,1143,0,0,1143
2026-03-10,DEP-002,SKU-000002,1597,0,0,1597
2026-03-10,DEP-002,SKU-000003,724,0,0,724
2026-03-10,DEP-002,SKU-000004,535,0,0,535
2026-03-10,DEP-002,SKU-000005,22699,0,0,22699
2026-03-10,DEP-002,SKU-000006,510,0,0,510
2026-03-10,DEP-002,SKU-000007,18248,0,0,18248
2026-03-10,DEP-002,,26573,0,0,26573
2026-03-10,DEP-002,SKU-000009,29,0,0,29
2026-03-10,DEP-002,SKU-000010,31,0,0,31
2026-03-10,DEP-002,SKU-000011,2268,0,0,2268
2026-03-10,DEP-002,SKU-000012,112,0,0,112
2026-03-10,DEP-002,SKU-000013,2189,0,0,2189
2026-03-10,DEP-002,SKU-000014,1223,0,0,1223
2026-03-10,DEP-002,SKU-000015,1356,0,0,1356
2026-03-10,DEP-002,SKU-000016,79,0,0,79
2026-03-10,DEP-002,SKU-000017,2838,0,0,2838
2026-03-10,DEP-002,SKU-000018,49,0,0,49
2026-03-10,DEP-002,SKU-000019,4160,0,0,4160
2026-03-10,DEP-002,SKU-000020,662,0,0,662
2026-03-10,DEP-002,SKU-000021,75,0,0,75
2026-03-10,DEP-002,SKU-000022,1442,0,0,1442
2026-03-10,DEP-002,SKU-000023,169,0,0,169
2026-03-10,DEP-002,SKU-000024,92,0,0,92
2026-03-10,DEP-002,SKU-000025,155,0,0,155
2026-03-10,DEP-002,SKU-000026,2574,0,0,2574
2026-03-10,DEP-002,SKU-000027,3221,0,0,3221
2026-03-10,DEP-002,SKU-000028,1234,0,0,1234
2026-03-10,DEP-002,SKU-000029,738,0,0,738
2026-03-10,DEP-002,SKU-000030,59,0,0,59
2026-03-10,DEP-002,SKU-000031,99,0,0,99
2026-03-10,DEP-002,SKU-000032,4768,0,0,4768
2026-03-10,DEP-002,SKU-000033,635,0,0,635
2026-03-10,DEP-002,SKU-000034,1367,0,0,1367
2026-03-10,DEP-002,SKU-000035,20489,0,0,20489
2026-03-10,DEP-002,SKU-000036,1680,0,0,1680
2026-03-10,DEP-002,SKU-000037,1477,0,0,1477
2026-03-10,DEP-002,,62,0,0,62
2026-03-10,DEP-002,SKU-000039,54,0,0,54
2026-03-10,DEP-002,SKU-000040,930,0,0,930
2026-03-10,DEP-002,SKU-000041,7585,0,0,7585
2026-03-10,DEP-002,SKU-000042,1544,0,0,1544
2026-03-10,DEP-002,SKU-000043,4829,0,0,4829
2026-03-10,DEP-002,SKU-000044,863,0,0,863
2026-03-10,DEP-002,SKU-000045,10604,0,0,10604
2026-03-10,DEP-002,SKU-000046,390,0,0,390
2026-03-10,DEP-002,SKU-000047,1551,0,0,1551
2026-03-10,DEP-002,SKU-000048,1208,0,0,1208
2026-03-10,DEP-002,SKU-000049,1191,0,0,1191
2026-03-10,DEP-002,SKU-000050,3522,0,0,3522
2026-03-10,DEP-002,SKU-000051,1451,0,0,1451
2026-03-10,DEP-002,SKU-000052,21,0,0,21
2026-03-10,DEP-002,,1961,0,0,1961
2026-03-10,DEP-002,SKU-000054,5415,0,0,5415
2026-03-10,DEP-002,SKU-000055,2341,0,0,2341
2026-03-10,DEP-002,SKU-000056,1710,0,0,1710
2026-03-10,DEP-002,SKU-000057,3316,0,0,3316
2026-03-10,DEP-002,SKU-000058,2070,0,0,2070
2026-03-10,DEP-002,SKU-000059,5415,0,0,5415
2026-03-10,,SKU-000060,1096,0,0,1096
2026-03-10,DEP-002,SKU-000061,1501,0,0,1501
2026-03-10,DEP-002,SKU-000062,1403,0,0,1403
2026-03-10,DEP-002,SKU-000063,1387,0,0,1387
2026-03-10,DEP-002,SKU-000064,3340,0,0,3340
2026-03-10,DEP-002,SKU-000065,602,0,0,602
2026-03-10,DEP-002,SKU-000066,1013,0,0,1013
2026-03-10,DEP-002,SKU-000067,21408,0,0,21408
2026-03-10,DEP-002,SKU-000068,21245,0,0,21245
2026-03-10,DEP-002,SKU-000069,1485,0,0,1485
2026-03-10,DEP-002,SKU-000070,2750,0,0,2750
2026-03-10,DEP-002,SKU-000071,902,0,0,902
2026-03-10,DEP-002,SKU-000072,22646,0,0,22646
2026-03-10,DEP-002,SKU-000073,1730,0,0,1730
2026-03-10,DEP-002,SKU-000074,23820,0,0,23820
2026-03-10,DEP-002,,1026,0,0,1026
2026-03-10,DEP-002,SKU-000076,419,0,0,419
2026-03-10,DEP-002,SKU-000077,3338,0,0,3338
2026-03-10,DEP-002,SKU-000078,20603,0,0,20603
2026-03-10,DEP-002,SKU-000079,11941,0,0,11941
2026-03-10,DEP-002,SKU-000080,909,0,0,909
2026-03-10,DEP-002,SKU-000081,8857,0,0,8857
2026-03-10,DEP-002,SKU-000082,10322,0,0,10322
2026-03-10,DEP-002,SKU-000083,1954,0,0,1954
2026-03-10,DEP-002,SKU-000084,16510,0,0,16510
2026-03-10,DEP-002,SKU-000085,493,0,0,493
2026-03-10,,SKU-000086,131,0,0,131
2026-03-10,DEP-002,SKU-000087,602,0,0,602
2026-03-10,DEP-002,SKU-000088,1160,0,0,1160
2026-03-10,DEP-002,SKU-000089,47,0,0,47
2026-03-10,DEP-002,SKU-000090,1562,0,0,1562
2026-03-10,DEP-002,SKU-000091,2417,0,0,2417
2026-03-10,DEP-002,SKU-000092,639,0,0,639
2026-03-10,DEP-002,SKU-000093,427,0,0,427
2026-03-10,DEP-002,SKU-000094,17,0,0,17
2026-03-10,DEP-002,SKU-000095,537,0,0,537
2026-03-10,DEP-002,SKU-000096,399,0,0,399
2026-03-10,DEP-002,SKU-000097,2446,0,0,2446
2026-03-10,DEP-002,SKU-000098,2467,0,0,2467
2026-03-10,DEP-002,SKU-000099,601,0,0,601
2026-03-10,DEP-002,SKU-000100,3547,0,0,3547
2026-03-10,DEP-002,SKU-000101,527,0,0,527
2026-03-10,DEP-002,SKU-000102,329,0,0,329
2026-03-10,DEP-002,SKU-000103,124,0,0,124
2026-03-10,DEP-002,SKU-000104,2789,0,0,2789
2026-03-10,DEP-002,SKU-000105,2958,0,0,2958
2026-03-10,DEP-002,SKU-000106,438,0,0,438
2026-03-10,DEP-002,SKU-000107,224,0,0,224
2026-03-10,DEP-002,SKU-000108,3531,0,0,3531
2026-03-10,DEP-002,SKU-000109,742,0,0,742
2026-03-10,DEP-002,SKU-000110,6312,0,0,6312
2026-03-10,DEP-002,SKU-000111,781,0,0,781
2026-03-10,DEP-002,SKU-000112,136,0,0,136
2026-03-10,DEP-002,SKU-000113,1742,0,0,1742
2026-03-10,DEP-002,SKU-000114,433,0,0,433
2026-03-10,DEP-002,SKU-000115,2962,0,0,2962
2026-03-10,DEP-002,SKU-000116,18005,0,0,18005
2026-03-10,DEP-002,SKU-000117,105,0,0,105
2026-03-10,DEP-002,SKU-000118,1816,0,0,1816
2026-03-10,DEP-002,SKU-000119,93,0,0,93
2026-03-10,DEP-002,SKU-000120,6955,0,0,6955
2026-03-10,DEP-002,SKU-000121,290,0,0,290
2026-03-10,DEP-002,SKU-000122,10075,0,0,10075
2026-03-10,DEP-002,SKU-000123,980,0,0,980
2026-03-10,DEP-002,SKU-000124,1293,0,0,1293
2026-03-10,DEP-002,SKU-000125,34,0,0,34
2026-03-10,DEP-002,SKU-000126,1465,0,0,1465
2026-03-10,DEP-002,SKU-000127,1940,0,0,1940
2026-03-10,DEP-002,SKU-000128,2936,0,0,2936
2026-03-10,DEP-002,SKU-000129,14379,0,0,14379
2026-03-10,DEP-002,SKU-000130,1006,0,0,1006
2026-03-10,DEP-002,SKU-000131,359,0,0,359
2026-03-10,DEP-002,SKU-000132,1025,0,0,1025
2026-03-10,DEP-002,SKU-000133,478,0,0,478
2026-03-10,DEP-002,SKU-000134,453,0,0,453
2026-03-10,DEP-002,,276,0,0,276
2026-03-10,DEP-002,SKU-000136,853,0,0,853
2026-03-10,DEP-002,SKU-000137,23223,0,0,23223
2026-03-10,DEP-002,SKU-000138,858,0,0,858
2026-03-10,DEP-002,SKU-000139,28,0,0,28
2026-03-10,DEP-002,SKU-000140,6599,0,0,6599
2026-03-10,DEP-002,SKU-000141,1250,0,0,1250
2026-03-10,DEP-002,SKU-000142,317,0,0,317
2026-03-10,DEP-002,SKU-000143,704,0,0,704
2026-03-10,DEP-002,SKU-000144,2229,0,0,2229
2026-03-10,DEP-002,SKU-000145,1817,0,0,1817
2026-03-10,DEP-002,SKU-000146,1082,0,0,1082
2026-03-10,DEP-002,SKU-000147,56,0,0,56
2026-03-10,DEP-002,SKU-000148,17488,0,0,17488
2026-03-10,DEP-002,SKU-000149,2186,0,0,2186
2026-03-10,DEP-002,SKU-000150,3339,0,0,3339
2026-03-10,DEP-002,SKU-000151,1285,0,0,1285
2026-03-10,DEP-002,SKU-000152,3453,0,0,3453
2026-03-10,DEP-002,SKU-000153,75,0,0,75
2026-03-10,DEP-002,SKU-000154,3119,0,0,3119
2026-03-10,DEP-002,SKU-000155,24732,0,0,24732
2026-03-10,DEP-002,SKU-000156,617,0,0,617
2026-03-10,DEP-002,SKU-000157,681,0,0,681
2026-03-10,DEP-002,SKU-000158,953,0,0,953
2026-03-10,DEP-002,SKU-000159,1883,0,0,1883
2026-03-10,DEP-002,SKU-000160,2934,0,0,2934
2026-03-10,DEP-002,SKU-000161,12033,0,0,12033
2026-03-10,DEP-002,SKU-000162,307,0,0,307
2026-03-10,DEP-002,SKU-000163,817,0,0,817
2026-03-10,DEP-002,SKU-000164,23762,0,0,23762
2026-03-10,DEP-002,SKU-000165,643,0,0,643
2026-03-10,DEP-002,SKU-000166,925,0,0,925
2026-03-10,DEP-002,SKU-000167,834,0,0,834
2026-03-10,DEP-002,SKU-000168,3185,0,0,3185
2026-03-10,DEP-002,SKU-000169,72,0,0,72
2026-03-10,DEP-002,SKU-000170,1073,0,0,1073
2026-03-10,DEP-002,,20340,0,0,20340
2026-03-10,,SKU-000172,858,0,0,858
2026-03-10,DEP-002,SKU-000173,1744,0,0,1744
2026-03-10,DEP-002,SKU-000174,3685,0,0,3685
2026-03-10,DEP-002,SKU-000175,12863,0,0,12863
2026-03-10,DEP-002,SKU-000176,1950,0,0,1950
2026-03-10,DEP-002,SKU-000177,2106,0,0,2106
2026-03-10,DEP-002,SKU-000178,650,0,0,650
2026-03-10,DEP-002,SKU-000179,1273,0,0,1273
2026-03-10,DEP-002,SKU-000180,4382,0,0,4382
2026-03-10,DEP-002,SKU-000181,3781,0,0,3781
2026-03-10,DEP-002,SKU-000182,660,0,0,660
2026-03-10,DEP-002,SKU-000183,1193,0,0,1193
2026-03-10,DEP-002,SKU-000184,566,0,0,566
2026-03-10,DEP-002,SKU-000185,110,0,0,110
2026-03-10,DEP-002,SKU-000186,2939,0,0,2939
2026-03-10,DEP-002,SKU-000187,2073,0,0,2073
2026-03-10,DEP-002,SKU-000188,79,0,0,79
2026-03-10,DEP-002,SKU-000189,23885,0,0,23885
2026-03-10,DEP-002,SKU-000190,86,0,0,86
2026-03-10,DEP-002,SKU-000191,883,0,0,883
2026-03-10,DEP-002,SKU-000192,1212,0,0,1212
2026-03-10,DEP-002,SKU-000193,1787,0,0,1787
2026-03-10,DEP-002,SKU-000194,1778,0,0,1778
2026-03-10,,SKU-000195,2676,0,0,2676
2026-03-10,DEP-002,SKU-000196,2362,0,0,2362
2026-03-10,DEP-002,SKU-000197,1981,0,0,1981
2026-03-10,DEP-002,SKU-000198,76,0,0,76
2026-03-10,DEP-002,SKU-000199,2494,0,0,2494
2026-03-10,DEP-002,SKU-000200,861,0,0,861
2026-03-10,DEP-003,SKU-000001,1234,0,0,1234
2026-03-10,DEP-003,SKU-000002,1777,0,0,1777
2026-03-10,DEP-003,SKU-000003,688,0,0,688
2026-03-10,DEP-003,SKU-000004,533,0,0,533
2026-03-10,DEP-003,SKU-000005,24554,0,0,24554
2026-03-10,DEP-003,SKU-000006,468,0,0,468
2026-03-10,DEP-003,SKU-000007,19749,0,0,19749
2026-03-10,,SKU-000008,22719,0,0,22719
2026-03-10,DEP-003,SKU-000009,25,0,0,25
2026-03-10,DEP-003,SKU-000010,35,0,0,35
2026-03-10,DEP-003,SKU-000011,2256,0,0,2256
2026-03-10,DEP-003,SKU-000012,106,0,0,106
2026-03-10,DEP-003,SKU-000013,2274,0,0,2274
2026-03-10,DEP-003,SKU-000014,1033,0,0,1033
2026-03-10,DEP-003,SKU-000015,1164,0,0,1164
2026-03-10,DEP-003,SKU-000016,93,0,0,93
2026-03-10,DEP-003,SKU-000017,2429,0,0,2429
2026-03-10,DEP-003,SKU-000018,49,0,0,49
2026-03-10,DEP-003,SKU-000019,3759,0,0,3759
2026-03-10,DEP-003,SKU-000020,710,0,0,710
2026-03-10,DEP-003,SKU-000021,73,0,0,73
2026-03-10,DEP-003,SKU-000022,1270,0,0,1270
2026-03-10,DEP-003,SKU-000023,160,0,0,160
2026-03-10,DEP-003,SKU-000024,96,0,0,96
2026-03-10,DEP-003,SKU-000025,155,0,0,155
2026-03-10,DEP-003,SKU-000026,2182,0,0,2182
2026-03-10,DEP-003,SKU-000027,3629,0,0,3629
2026-03-10,DEP-003,SKU-000028,1259,0,0,1259
2026-03-10,DEP-003,SKU-000029,657,0,0,657
2026-03-10,DEP-003,SKU-000030,59,0,0,59
2026-03-10,DEP-003,SKU-000031,116,0,0,116
2026-03-10,DEP-003,SKU-000032,4877,0,0,4877
2026-03-10,DEP-003,SKU-000033,622,0,0,622
2026-03-10,DEP-003,SKU-000034,1399,0,0,1399
2026-03-10,DEP-003,SKU-000035,20894,0,0,20894
2026-03-10,DEP-003,SKU-000036,1698,0,0,1698
2026-03-10,DEP-003,SKU-000037,1456,0,0,1456
2026-03-10,DEP-003,SKU-000038,67,0,0,67
2026-03-10,DEP-003,SKU-000039,61,0,0,61
2026-03-10,DEP-003,SKU-000040,890,0,0,890
2026-03-10,DEP-003,SKU-000041,7927,0,0,7927
2026-03-10,DEP-003,SKU-000042,1452,0,0,1452
2026-03-10,DEP-003,SKU-000043,5108,0,0,5108
2026-03-10,,SKU-000044,816,0,0,816
2026-03-10,DEP-003,SKU-000045,10739,0,0,10739
2026-03-10,DEP-003,SKU-000046,381,0,0,381
2026-03-10,DEP-003,SKU-000047,1732,0,0,1732
2026-03-10,DEP-003,SKU-000048,1188,0,0,1188
2026-03-10,DEP-003,SKU-000049,1199,0,0,1199
2026-03-10,DEP-003,SKU-000050,3138,0,0,3138
2026-03-10,DEP-003,SKU-000051,1453,0,0,1453
2026-03-10,DEP-003,SKU-000052,21,0,0,21
2026-03-10,DEP-003,SKU-000053,2078,0,0,2078
2026-03-10,DEP-003,SKU-000054,5787,0,0,5787
2026-03-10,DEP-003,SKU-000055,2176,0,0,2176
2026-03-10,DEP-003,SKU-000056,1890,0,0,1890
2026-03-10,DEP-003,SKU-000057,2831,0,0,2831
2026-03-10,DEP-003,SKU-000058,1723,0,0,1723
2026-03-10,DEP-003,SKU-000059,6199,0,0,6199
2026-03-10,DEP-003,SKU-000060,1159,0,0,1159
2026-03-10,DEP-003,SKU-000061,1318,0,0,1318
2026-03-10,DEP-003,SKU-000062,1665,0,0,1665
2026-03-10,DEP-003,SKU-000063,1309,0,0,1309
2026-03-10,DEP-003,SKU-000064,3514,0,0,3514
2026-03-10,DEP-003,SKU-000065,575,0,0,575
2026-03-10,DEP-003,SKU-000066,990,0,0,990
2026-03-10,DEP-003,SKU-000067,19450,0,0,19450
2026-03-10,DEP-003,SKU-000068,22214,0,0,22214
2026-03-10,DEP-003,SKU-000069,1229,0,0,1229
2026-03-10,DEP-003,SKU-000070,3146,0,0,3146
2026-03-10,DEP-003,,917,0,0,917
2026-03-10,DEP-003,SKU-000072,21975,0,0,21975
2026-03-10,DEP-003,SKU-000073,1581,0,0,1581
2026-03-10,DEP-003,SKU-000074,25252,0,0,25252
2026-03-10,DEP-003,SKU-000075,1040,0,0,1040
2026-03-10,DEP-003,SKU-000076,450,0,0,450
2026-03-10,DEP-003,SKU-000077,3705,0,0,3705
2026-03-10,DEP-003,SKU-000078,19072,0,0,19072
2026-03-10,DEP-003,SKU-000079,12725,0,0,12725
2026-03-10,DEP-003,SKU-000080,883,0,0,883
2026-03-10,DEP-003,SKU-000081,8527,0,0,8527
