backorder_id,pedido_id,sku,data,qtd_pendente,dias_em_aberto,status
BO-C6C0FFC8,PED-BC79D8A6,SKU-000196,2026-04-30,552,0,Pendente
BO-90A95AFA,PED-FDB3977C,SKU-000149,2026-04-30,19,0,Pendente
BO-8E07C1C8,PED-491D48C8,SKU-000047,2026-04-30,100,0,Pendente
BO-A27B456E,PED-14F2A7C0,SKU-000200,2026-04-30,135,0,Pendente
BO-4B03D090,PED-95C12879,SKU-000112,2026-04-30,23,0,Pendente
BO-E40A7D71,PED-B0A85454,SKU-000080,2026-05-01,157,0,Pendente
BO-DC46352C,PED-E6429756,SKU-000029,2026-05-01,142,0,Pendente
BO-7586B109,PED-290C122F,SKU-000040,2026-05-01,9,0,Pendente
BO-C30A8E5C,PED-8C939DA1,SKU-000162,2026-05-01,40,0,Pendente
BO-A129BC4F,PED-BE790AF0,SKU-000033,2026-05-01,164,0,Pendente
BO-340D9F69,PED-1DD2F254,SKU-000150,2026-05-01,507,0,Pendente
BO-704D8462,PED-7CAE2D76,SKU-000126,2026-05-02,72,0,Pendente
BO-7122938D,PED-FB0BFED0,SKU-000173,2026-05-02,19,0,Pendente
BO-AD55263B,PED-470A4EF5,SKU-000070,2026-05-02,68,0,Pendente
BO-39D23B4B,PED-2D4E0593,SKU-000140,2026-05-02,2124,0,Pendente
BO-35FE9216,PED-C1604B9A,SKU-000157,2026-05-02,175,0,Pendente
BO-E65B7A42,PED-5F323875,SKU-000120,2026-05-02,1667,0,Pendente
BO-EEA82D29,PED-A281CFC7,SKU-000073,2026-05-02,312,0,Pendente
BO-004D4861,PED-C5383787,SKU-000154,2026-05-02,1019,0,Pendente
BO-121BFE40,PED-DD9A51AD,SKU-000088,2026-05-03,103,0,Pendente
BO-2991B372,PED-AB671E02,SKU-000114,2026-05-03,54,0,Pendente
BO-2739B74E,PED-BF2EF6A5,SKU-000167,2026-05-03,72,0,Pendente
BO-43BDE39A,PED-380BC5EC,SKU-000166,2026-05-03,78,0,Pendente
BO-B19769AB,PED-3FF5DAAF,SKU-000119,2026-05-03,3,0,Pendente
BO-5277ACF7,PED-5099BF26,SKU-000197,2026-05-03,170,0,Pendente
BO-26DDE209,PED-5D43B814,SKU-000148,2026-05-03,278,0,Pendente
BO-995199EA,PED-282DC4DD,SKU-000076,2026-05-04,59,0,Pendente
BO-ABF9ABFC,PED-431D18F4,SKU-000012,2026-05-04,24,0,Pendente
BO-928C16EC,PED-9D5BFEBC,SKU-000057,2026-05-04,752,0,Pendente
BO-58D0DA02,PED-051B6E92,SKU-000129,2026-05-04,4484,0,Pendente
BO-176743CD,PED-A8AC6966,SKU-000026,2026-05-04,101,0,Pendente
BO-4E26BA00,PED-F1CE560E,SKU-000156,2026-05-04,30,0,Pendente
BO-E4E4B011,PED-E31189D4,SKU-000019,2026-05-04,1189,0,Pendente
BO-55A3FA21,PED-C1528EDB,SKU-000178,2026-05-04,63,0,Pendente
BO-76AD4966,PED-7F1E352B,SKU-000123,2026-05-04,179,0,Pendente
BO-A7F1F00B,PED-5D271C5F,SKU-000136,2026-05-05,107,0,Pendente
BO-4534910E,PED-3180B5ED,SKU-000153,2026-05-05,15,0,Pendente
BO-4F2E8557,PED-17CC660D,SKU-000013,2026-05-05,96,0,Pendente
BO-76C29E54,PED-31CB448B,SKU-000050,2026-05-05,178,0,Pendente
BO-9FE6E7D5,PED-560AA6D4,SKU-000176,2026-05-05,326,0,Pendente
BO-5536FD72,PED-CF2B750E,SKU-000058,2026-05-05,500,0,Pendente
BO-9C86C9B8,PED-1F300F4D,SKU-000179,2026-05-05,145,0,Pendente
BO-C9E0FDEA,PED-E71F7105,SKU-000111,2026-05-05,108,0,Pendente
BO-F6BF7642,PED-AE0778D4,SKU-000092,2026-05-05,132,0,Pendente
BO-F0A8D6BE,PED-1BB74489,SKU-000121,2026-05-06,68,0,Pendente
BO-40D9DC2C,PED-17291C88,SKU-000159,2026-05-06,341,0,Pendente
BO-E185EC20,PED-A3E6296E,SKU-000045,2026-05-06,1441,0,Pendente
BO-4F870794,PED-AD388F78,SKU-000054,2026-05-06,1072,0,Pendente
BO-B273561F,PED-6352736D,SKU-000113,2026-05-06,134,0,Pendente
BO-0B5DFA98,PED-06AB1C62,SKU-000095,2026-05-06,142,0,Pendente
BO-60C97524,PED-5D22F536,SKU-000067,2026-05-06,708,0,Pendente
BO-705186E5,PED-FA4592D3,SKU-000039,2026-05-06,13,0,Pendente
BO-54B30C10,PED-27E18E55,SKU-000090,2026-05-07,18,0,Pendente
BO-FE98F88C,PED-B34EC560,SKU-000097,2026-05-07,118,0,Pendente
BO-364B08D4,PED-87B0C7F8,SKU-000161,2026-05-07,2864,0,Pendente
BO-590B5A6F,PED-1DA3750F,SKU-000145,2026-05-07,4,0,Pendente
BO-10C16BB2,PED-4CA2A3BA,SKU-000175,2026-05-07,807,0,Pendente
BO-8AB197A3,PED-F3B03C24,SKU-000034,2026-05-07,474,0,Pendente
BO-D2A9CE9C,PED-8C967020,SKU-000152,2026-05-07,258,0,Pendente
BO-D9FF5722,PED-C6B3509A,SKU-000036,2026-05-07,478,0,Pendente
BO-A569CE05,PED-DF13940B,SKU-000146,2026-05-08,94,0,Pendente
BO-F2C17C6B,PED-5E9EEB05,SKU-000056,2026-05-08,55,0,Pendente
BO-00DA4DFD,PED-F5689AA1,SKU-000078,2026-05-08,1413,0,Pendente
BO-6727E89B,PED-62C8CBDF,SKU-000184,2026-05-08,8,0,Pendente
BO-E42CA621,PED-A322520C,SKU-000003,2026-05-08,144,0,Pendente
BO-8B9197FF,PED-F9AB4AC0,SKU-000189,2026-05-08,6063,0,Pendente
BO-C12B070E,PED-037AE393,SKU-000134,2026-05-08,110,0,Pendente
BO-DE405476,PED-817D6B72,SKU-000006,2026-05-09,70,0,Pendente
BO-3CAAF370,PED-88B6CC24,SKU-000049,2026-05-09,237,0,Pendente
BO-0AB448FD,PED-915E1E9F,SKU-000124,2026-05-09,68,0,Pendente
BO-ADAF4299,PED-35F5BB26,SKU-000041,2026-05-09,1623,0,Pendente
BO-22343F27,PED-95B24AA2,SKU-000059,2026-05-09,1242,0,Pendente
BO-E4E6462E,PED-C9714F81,SKU-000115,2026-05-09,1183,0,Pendente
BO-43E17259,PED-38EDB90C,SKU-000193,2026-05-09,527,0,Pendente
BO-A885F625,PED-13DB372F,SKU-000102,2026-05-09,49,0,Pendente
BO-1227BF5C,PED-0F0461F5,SKU-000007,2026-05-10,3633,0,Pendente
BO-F5E84CE8,PED-C3E1A7BA,SKU-000098,2026-05-10,653,0,Pendente
BO-C41E936F,PED-02E4CD9F,SKU-000195,2026-05-10,339,0,Pendente
BO-503E5EF8,PED-A56B08BA,SKU-000079,2026-05-10,3878,0,Pendente
BO-E2BDC93A,PED-E0C63916,SKU-000091,2026-05-10,2,0,Pendente
BO-D1DEB973,PED-26C113E5,SKU-000075,2026-05-10,387,0,Pendente
BO-25F785DA,PED-1CF9E80C,SKU-000141,2026-05-10,339,0,Pendente
BO-D61639A6,PED-DE276FAE,SKU-000142,2026-05-11,26,0,Pendente
BO-6ECB384D,PED-837B8630,SKU-000015,2026-05-11,67,0,Pendente
BO-1C56809F,PED-4B579B77,SKU-000199,2026-05-11,498,0,Pendente
BO-9AC89DCE,PED-5468DB89,SKU-000127,2026-05-11,574,0,Pendente
BO-A0047D6F,PED-063084EF,SKU-000192,2026-05-11,214,0,Pendente
BO-F42E352E,PED-665B1BF7,SKU-000061,2026-05-11,305,0,Pendente
BO-9694EAB6,PED-0DFC7ADA,SKU-000164,2026-05-11,6568,0,Pendente
BO-E4AB9F02,PED-CB65A966,SKU-000133,2026-05-11,184,0,Pendente
BO-C6E7D9B6,PED-F4A0DADB,SKU-000163,2026-05-12,50,0,Pendente
BO-31495EA3,PED-F4D1D7EA,SKU-000168,2026-05-12,67,0,Pendente
BO-C10D3B8C,PED-C91A151A,SKU-000001,2026-05-12,126,0,Pendente
BO-D9E3BB52,PED-80847812,SKU-000064,2026-05-12,919,0,Pendente
BO-BBC5C3B1,PED-DB476440,SKU-000106,2026-05-12,44,0,Pendente
BO-D6233937,PED-E7BCDDEA,SKU-000014,2026-05-12,373,0,Pendente
BO-BAAAA51A,PED-828030CE,SKU-000017,2026-05-12,1012,0,Pendente
BO-41AE48CF,PED-43ED5029,SKU-000118,2026-05-13,197,0,Pendente
BO-AEAB7B3A,PED-64A6E448,SKU-000053,2026-05-13,392,0,Pendente
BO-F2BA443B,PED-7FED92FE,SKU-000170,2026-05-13,118,0,Pendente
BO-BE067408,PED-41A5872B,SKU-000169,2026-05-13,15,0,Pendente
BO-5DBE5240,PED-77650138,SKU-000194,2026-05-13,112,0,Pendente
BO-D3EB7C1C,PED-97C3C3A4,SKU-000101,2026-05-13,187,0,Pendente
BO-507264A7,PED-D4067097,SKU-000093,2026-05-14,43,0,Pendente
BO-83F676ED,PED-11E518B8,SKU-000130,2026-05-14,60,0,Pendente
BO-1E1C1042,PED-ECEBFCF8,SKU-000083,2026-05-14,649,0,Pendente
BO-2C26E491,PED-F4B43A08,SKU-000172,2026-05-14,51,0,Pendente
BO-AC30E242,PED-F8C02192,SKU-000150,2026-05-14,710,0,Pendente
BO-001952B8,PED-C601E486,SKU-000185,2026-05-15,26,0,Pendente
BO-C1B9F470,PED-DB6AE9AA,SKU-000027,2026-05-15,260,0,Pendente
BO-C3644CAA,PED-F6B09C26,SKU-000044,2026-05-15,117,0,Pendente
BO-368E3BA9,PED-993C0762,SKU-000065,2026-05-15,209,0,Pendente
BO-41615F3A,PED-BB34F283,SKU-000069,2026-05-15,172,0,Pendente
BO-7B5346FF,PED-CDC2993F,SKU-000004,2026-05-15,65,0,Pendente
BO-7D1A8264,PED-50AD1B62,SKU-000200,2026-05-15,245,0,Pendente
BO-52B83CEC,PED-1319F1A5,SKU-000180,2026-05-16,197,0,Pendente
BO-ED735E70,PED-287B5BAB,SKU-000100,2026-05-16,528,0,Pendente
BO-88EA79BC,PED-CDE52B79,SKU-000107,2026-05-16,10,0,Pendente
BO-3A0D7F46,PED-0E82D017,SKU-000122,2026-05-16,206,0,Pendente
BO-D796D0DA,PED-B8D612C8,SKU-000137,2026-05-16,2303,0,Pendente
BO-D200E5DA,PED-B28B9988,SKU-000028,2026-05-16,87,0,Pendente
BO-4A25144D,PED-3A5AE49F,SKU-000073,2026-05-16,246,0,Pendente
BO-237152C2,PED-922655CC,SKU-000111,2026-05-16,68,0,Pendente
BO-96748EEF,PED-BCB38201,SKU-000135,2026-05-16,37,0,Pendente
BO-AAB09BEE,PED-9324B9BA,SKU-000068,2026-05-17,861,0,Pendente
BO-86AF6235,PED-7FB4E9B4,SKU-000051,2026-05-17,124,0,Pendente
BO-5956D366,PED-836B82AC,SKU-000011,2026-05-17,180,0,Pendente
BO-53262AF8,PED-874AAA78,SKU-000040,2026-05-17,291,0,Pendente
BO-A2928391,PED-F2D5AA6B,SKU-000148,2026-05-17,5764,0,Pendente
BO-1BBF3F0A,PED-15C34696,SKU-000179,2026-05-17,118,0,Pendente
BO-EB211F1D,PED-98DFD931,SKU-000071,2026-05-18,14,0,Pendente
BO-CE14E4FA,PED-FA6675DF,SKU-000084,2026-05-18,1386,0,Pendente
BO-775B7651,PED-377E33E4,SKU-000108,2026-05-18,352,0,Pendente
BO-9DF3C679,PED-D8852AE7,SKU-000099,2026-05-18,92,0,Pendente
BO-CFE49B1D,PED-F24B1BAC,SKU-000187,2026-05-18,580,0,Pendente
BO-810CC26E,PED-D8B34084,SKU-000162,2026-05-18,30,0,Pendente
BO-0E9D579C,PED-A1554356,SKU-000104,2026-05-19,571,0,Pendente
BO-2E9B2BA0,PED-16ACF709,SKU-000105,2026-05-19,590,0,Pendente
BO-AE499F6C,PED-76EBAE94,SKU-000008,2026-05-19,1554,0,Pendente
BO-33CFD63D,PED-844C708C,SKU-000103,2026-05-19,8,0,Pendente
BO-AC3ED99C,PED-809EC0C2,SKU-000144,2026-05-19,342,0,Pendente
BO-39FCFB33,PED-70C5C540,SKU-000063,2026-05-19,216,0,Pendente
BO-1D2D835B,PED-55200A51,SKU-000032,2026-05-19,1521,0,Pendente
BO-BDD04626,PED-B5BD3212,SKU-000177,2026-05-19,458,0,Pendente
BO-755ECF39,PED-E5E8D46B,SKU-000120,2026-05-19,316,0,Pendente
BO-30CA2879,PED-17BF1BAA,SKU-000039,2026-05-19,6,0,Pendente
BO-6BC92301,PED-E5E0B0DA,SKU-000147,2026-05-19,7,0,Pendente
BO-1673CD04,PED-EA8C918C,SKU-000102,2026-05-19,34,0,Pendente
BO-9092ACBA,PED-601C7410,SKU-000077,2026-05-20,934,0,Pendente
BO-2FBEF33A,PED-944C7F6A,SKU-000060,2026-05-20,387,0,Pendente
BO-19BD745E,PED-BAFFA7F3,SKU-000165,2026-05-20,188,0,Pendente
BO-C800213D,PED-6B198059,SKU-000155,2026-05-20,946,0,Pendente
BO-45F1F257,PED-ACCE2EC4,SKU-000157,2026-05-20,85,0,Pendente
BO-6AEDDAE3,PED-A350255C,SKU-000183,2026-05-21,155,0,Pendente
BO-0A02AB54,PED-92C90F24,SKU-000035,2026-05-21,4034,0,Pendente
BO-750D2196,PED-D39CFC7C,SKU-000055,2026-05-21,284,0,Pendente
BO-FA4DF0EB,PED-12FF5186,SKU-000021,2026-05-21,11,0,Pendente
BO-1906DA4E,PED-DF42762B,SKU-000037,2026-05-21,486,0,Pendente
BO-16B55CAD,PED-5ED6857D,SKU-000047,2026-05-21,529,0,Pendente
BO-F48AF49F,PED-6FE3EA00,SKU-000140,2026-05-21,1236,0,Pendente
BO-04739A19,PED-A5CA748A,SKU-000152,2026-05-21,1388,0,Pendente
BO-096F8970,PED-5EBBDC1F,SKU-000188,2026-05-21,27,0,Pendente
BO-1705847C,PED-F248ED16,SKU-000151,2026-05-22,8,0,Pendente
BO-9D6E0B07,PED-8FBE51ED,SKU-000043,2026-05-22,1500,0,Pendente
BO-78370B91,PED-B26B639B,SKU-000066,2026-05-22,412,0,Pendente
BO-083D0257,PED-63A7BD4A,SKU-000070,2026-05-22,606,0,Pendente
BO-4B4810EE,PED-014F446E,SKU-000074,2026-05-23,2852,0,Pendente
BO-4B6E8FAE,PED-0457A85D,SKU-000109,2026-05-23,113,0,Pendente
BO-CD395F20,PED-B97FC263,SKU-000082,2026-05-23,3021,0,Pendente
BO-7515843A,PED-0B962A4E,SKU-000025,2026-05-23,41,0,Pendente
BO-E6A5B935,PED-D368C60C,SKU-000156,2026-05-23,204,0,Pendente
BO-B2CC6DAE,PED-C10D47F7,SKU-000128,2026-05-24,77,0,Pendente
BO-4F5F3D4A,PED-5D3A8C22,SKU-000062,2026-05-24,60,0,Pendente
BO-42E1BEED,PED-5DF8FFCF,SKU-000081,2026-05-24,3342,0,Pendente
BO-2CB3AA8D,PED-B545672B,SKU-000149,2026-05-24,218,0,Pendente
BO-81E754E5,PED-C5FC569A,SKU-000058,2026-05-24,73,0,Pendente
BO-9F0B6F52,PED-4C1946AB,SKU-000182,2026-05-25,237,0,Pendente
BO-AE6AA785,PED-51AC241E,SKU-000196,2026-05-25,327,0,Pendente
BO-08B8C5D0,PED-DB297726,SKU-000173,2026-05-25,351,0,Pendente
BO-A31E9CB8,PED-91025533,SKU-000197,2026-05-25,87,0,Pendente
BO-9D75B5B9,PED-B99915D7,SKU-000145,2026-05-25,211,0,Pendente
BO-32C1B010,PED-217A4C69,SKU-000189,2026-05-25,2831,0,Pendente
BO-DC04BF05,PED-E0DA4411,SKU-000091,2026-05-25,980,0,Pendente
BO-9E4B0945,PED-301C2BF4,SKU-000002,2026-05-26,136,0,Pendente
BO-227F8A68,PED-AA2416A9,SKU-000072,2026-05-26,1389,0,Pendente
BO-11C9B46F,PED-E260A810,SKU-000026,2026-05-26,141,0,Pendente
BO-AB372038,PED-280916CE,SKU-000003,2026-05-26,27,0,Pendente
BO-33DF593E,PED-19E041CC,SKU-000005,2026-05-27,5196,0,Pendente
BO-A2B128C3,PED-42F99E9E,SKU-000129,2026-05-27,2567,0,Pendente
BO-810E93E3,PED-A2C41939,SKU-000067,2026-05-27,2400,0,Pendente
BO-13D43590,PED-3D963A21,SKU-000131,2026-05-27,16,0,Pendente
BO-E61C22E4,PED-D5B72DDD,SKU-000186,2026-05-28,397,0,Pendente
BO-07A494E8,PED-75A56729,SKU-000024,2026-05-28,12,0,Pendente
BO-AD042415,PED-95CE3E21,SKU-000031,2026-05-28,20,0,Pendente
BO-CD05F2AD,PED-B071442A,SKU-000048,2026-05-28,217,0,Pendente
BO-DD68438E,PED-8D5F5016,SKU-000119,2026-05-28,7,0,Pendente
BO-EAEB332E,PED-DADD1AEF,SKU-000184,2026-05-28,212,0,Pendente
BO-0AB31B4D,PED-4BAA8E64,SKU-000069,2026-05-28,75,0,Pendente
BO-073E01CB,PED-84CFC963,SKU-000191,2026-05-29,25,0,Pendente
BO-42BB986C,PED-B13FF78A,SKU-000029,2026-05-29,136,0,Pendente
BO-6DF8F408,PED-3FE6DF7F,SKU-000086,2026-05-29,33,0,Pendente
BO-FAA05A1A,PED-C5902565,SKU-000057,2026-05-29,984,0,Pendente
BO-99D9D2FD,PED-CDE9B908,SKU-000171,2026-05-30,3207,0,Pendente
BO-BED7FA2A,PED-F35698FC,SKU-000181,2026-05-30,737,0,Pendente
BO-130C7BE2,PED-BA1A0AF1,SKU-000022,2026-05-30,131,0,Pendente
BO-AC95BFCD,PED-BEE992EE,SKU-000110,2026-05-30,1701,0,Pendente
BO-A8CC38E8,PED-C739C272,SKU-000166,2026-05-30,53,0,Pendente
BO-04EB713D,PED-7507A251,SKU-000012,2026-05-30,34,0,Pendente
BO-AD798F3A,PED-B589D76A,SKU-000078,2026-05-30,2874,0,Pendente
BO-22842F74,PED-5D01DEC4,SKU-000147,2026-05-30,14,0,Pendente
BO-9DADA4E3,PED-CB72224D,SKU-000198,2026-05-30,21,0,Pendente
BO-4C55DE86,PED-906EC9D5,SKU-000167,2026-05-31,102,0,Pendente
BO-0D68C5B9,PED-C417E5CF,SKU-000059,2026-05-31,1079,0,Pendente
BO-6505366E,PED-42D5D991,SKU-000117,2026-05-31,19,0,Pendente
BO-E4444FDA,PED-103C89E7,SKU-000126,2026-06-01,227,0,Pendente
BO-E025D583,PED-059039B0,SKU-000096,2026-06-01,22,0,Pendente
BO-86FB60D4,PED-3C405C8C,SKU-000113,2026-06-01,589,0,Pendente
BO-5E786753,PED-A58DBF71,SKU-000064,2026-06-01,375,0,Pendente
BO-9CEB4173,PED-9153E705,SKU-000138,2026-06-02,23,0,Pendente
BO-60A55BC9,PED-5CDD5825,SKU-000013,2026-06-02,115,0,Pendente
BO-23C6552D,PED-EB98AE8A,SKU-000114,2026-06-02,84,0,Pendente
BO-4A154AD1,PED-47E640B3,SKU-000076,2026-06-02,112,0,Pendente
BO-5A0A6CEE,PED-E0EC0DC2,SKU-000176,2026-06-02,257,0,Pendente
BO-0B9061F7,PED-13465655,SKU-000045,2026-06-02,758,0,Pendente
BO-FCBEFE23,PED-4DBC5C42,SKU-000054,2026-06-02,1498,0,Pendente
BO-BA47497D,PED-B11A3A07,SKU-000095,2026-06-02,31,0,Pendente
BO-AD81F589,PED-D8F5BD0B,SKU-000161,2026-06-02,921,0,Pendente
BO-26169128,PED-3898F446,SKU-000041,2026-06-02,235,0,Pendente
BO-36931E4B,PED-012C6B74,SKU-000080,2026-06-03,60,0,Pendente
BO-46C9DF75,PED-DC1F54CE,SKU-000146,2026-06-03,192,0,Pendente
BO-249EFB16,PED-62CE17F2,SKU-000121,2026-06-03,83,0,Pendente
BO-3290D881,PED-426A8376,SKU-000159,2026-06-03,403,0,Pendente
BO-44703027,PED-5E0A77EB,SKU-000001,2026-06-03,129,0,Pendente
BO-5ED6F571,PED-F1012D71,SKU-000011,2026-06-03,36,0,Pendente
BO-898ABA73,PED-9175D951,SKU-000158,2026-06-04,207,0,Pendente
BO-40BEB524,PED-40002CF7,SKU-000013,2026-06-04,54,0,Pendente
BO-0CED6680,PED-EAF5ABA8,SKU-000124,2026-06-04,198,0,Pendente
BO-B53DBEF6,PED-54903FC8,SKU-000199,2026-06-04,356,0,Pendente
BO-2A7369D7,PED-0654BCF5,SKU-000194,2026-06-04,196,0,Pendente
BO-D0F38924,PED-88D21FA9,SKU-000050,2026-06-05,771,0,Pendente
BO-BAA7AF74,PED-B0C6DAF9,SKU-000016,2026-06-05,12,0,Pendente
BO-B4F1712A,PED-A63BAB76,SKU-000168,2026-06-05,338,0,Pendente
BO-BD156AFE,PED-DE803CB7,SKU-000028,2026-06-05,267,0,Pendente
BO-08F38E0E,PED-D6291CD5,SKU-000088,2026-06-06,293,0,Pendente
BO-F8ED8304,PED-0E80CDDE,SKU-000153,2026-06-06,12,0,Pendente
BO-17F5C629,PED-3959862A,SKU-000097,2026-06-06,60,0,Pendente
BO-7B9B7C9C,PED-A2592241,SKU-000027,2026-06-06,51,0,Pendente
BO-92E7E267,PED-EC319798,SKU-000044,2026-06-06,53,0,Pendente
BO-FAE2FFA4,PED-942FDC96,SKU-000023,2026-06-07,22,0,Pendente
BO-4A03B4B5,PED-44A3405F,SKU-000006,2026-06-07,50,0,Pendente
BO-D5C8960D,PED-A4DA9220,SKU-000056,2026-06-07,402,0,Pendente
BO-D6F9C402,PED-F4F080A7,SKU-000049,2026-06-07,326,0,Pendente
BO-80269113,PED-6ED6FF72,SKU-000195,2026-06-07,73,0,Pendente
BO-5F4314A3,PED-194D8408,SKU-000015,2026-06-07,192,0,Pendente
BO-2F6C3C55,PED-024AB31A,SKU-000137,2026-06-07,1341,0,Pendente
BO-7FA1A501,PED-80821961,SKU-000155,2026-06-07,8355,0,Pendente
