data,sku,deposito,demanda_nao_atendida,criticidade
2026-05-05,SKU-000111,DEP-001,2,Média
2026-05-05,SKU-000136,DEP-001,13,Média
2026-05-05,SKU-000149,DEP-001,44,Média
2026-05-06,SKU-000027,DEP-001,73,Média
2026-05-06,SKU-000039,DEP-001,1,Baixa
2026-05-06,SKU-000070,DEP-001,44,Alta
2026-05-06,SKU-000081,DEP-001,116,Baixa
2026-05-06,SKU-000090,DEP-001,25,Média
2026-05-06,SKU-000149,DEP-001,39,Média
2026-05-06,SKU-000156,DEP-001,3,Média
2026-05-07,SKU-000027,DEP-001,79,Média
2026-05-07,SKU-000070,DEP-001,58,Alta
2026-05-07,SKU-000081,DEP-001,158,Baixa
2026-05-07,SKU-000090,DEP-001,24,Média
2026-05-07,SKU-000091,DEP-001,30,Baixa
2026-05-07,SKU-000127,DEP-001,24,Média
2026-05-07,SKU-000135,DEP-001,1,Baixa
2026-05-07,SKU-000146,DEP-001,19,Baixa
2026-05-07,SKU-000149,DEP-001,41,Média
2026-05-07,SKU-000156,DEP-001,9,Média
2026-05-08,SKU-000027,DEP-001,102,Média
2026-05-08,SKU-000070,DEP-001,64,Alta
2026-05-08,SKU-000081,DEP-001,201,Baixa
2026-05-08,SKU-000090,DEP-001,23,Média
2026-05-08,SKU-000091,DEP-001,38,Baixa
2026-05-08,SKU-000127,DEP-001,37,Média
2026-05-08,SKU-000135,DEP-001,8,Baixa
2026-05-08,SKU-000146,DEP-001,23,Baixa
2026-05-08,SKU-000149,DEP-001,31,Média
2026-05-08,SKU-000156,DEP-001,12,Média
2026-05-09,SKU-000027,DEP-001,77,Média
2026-05-09,SKU-000041,DEP-001,60,Média
2026-05-09,SKU-000069,DEP-001,1,Baixa
2026-05-09,SKU-000070,DEP-001,39,Alta
2026-05-09,SKU-000081,DEP-001,147,Baixa
2026-05-09,SKU-000090,DEP-001,32,Média
2026-05-09,SKU-000091,DEP-001,53,Baixa
2026-05-09,SKU-000127,DEP-001,20,Média
2026-05-09,SKU-000135,DEP-001,6,Baixa
2026-05-09,SKU-000149,DEP-001,38,Média
2026-05-09,SKU-000156,DEP-001,8,Média
2026-05-10,SKU-000027,DEP-001,70,Média
2026-05-10,SKU-000045,DEP-001,229,Baixa
2026-05-10,SKU-000069,DEP-001,18,Baixa
2026-05-10,SKU-000070,DEP-001,68,Alta
2026-05-10,SKU-000081,DEP-001,206,Baixa
2026-05-10,SKU-000090,DEP-001,25,Média
2026-05-10,SKU-000091,DEP-001,31,Baixa
2026-05-10,SKU-000100,DEP-001,4,Baixa
2026-05-10,SKU-000127,DEP-001,30,Média
2026-05-10,SKU-000135,DEP-001,8,Baixa
2026-05-10,SKU-000149,DEP-001,36,Média
2026-05-10,SKU-000156,DEP-001,12,Média
2026-05-11,SKU-000027,DEP-001,83,Média
2026-05-11,SKU-000045,DEP-001,129,Baixa
2026-05-11,SKU-000069,DEP-001,24,Baixa
2026-05-11,SKU-000070,DEP-001,41,Alta
2026-05-11,SKU-000081,DEP-001,130,Baixa
2026-05-11,SKU-000090,DEP-001,20,Média
2026-05-11,SKU-000100,DEP-001,53,Baixa
2026-05-11,SKU-000127,DEP-001,28,Média
2026-05-11,SKU-000135,DEP-001,8,Baixa
2026-05-11,SKU-000149,DEP-001,31,Média
2026-05-11,SKU-000156,DEP-001,9,Média
2026-05-12,SKU-000011,DEP-001,21,Baixa
2026-05-12,SKU-000027,DEP-001,93,Média
2026-05-12,SKU-000045,DEP-001,127,Baixa
2026-05-12,SKU-000069,DEP-001,17,Baixa
2026-05-12,SKU-000070,DEP-001,65,Alta
2026-05-12,SKU-000081,DEP-001,120,Baixa
2026-05-12,SKU-000090,DEP-001,29,Média
2026-05-12,SKU-000100,DEP-001,40,Baixa
2026-05-12,SKU-000135,DEP-001,6,Baixa
2026-05-12,SKU-000149,DEP-001,28,Média
2026-05-12,SKU-000156,DEP-001,10,Média
2026-05-13,SKU-000011,DEP-001,39,Baixa
2026-05-13,SKU-000027,DEP-001,74,Média
2026-05-13,SKU-000045,DEP-001,198,Baixa
2026-05-13,SKU-000068,DEP-001,300,Baixa
2026-05-13,SKU-000069,DEP-001,29,Baixa
2026-05-13,SKU-000070,DEP-001,57,Alta
2026-05-13,SKU-000071,DEP-001,8,Baixa
2026-05-13,SKU-000081,DEP-001,185,Baixa
2026-05-13,SKU-000090,DEP-001,21,Média
2026-05-13,SKU-000099,DEP-001,3,Baixa
2026-05-13,SKU-000100,DEP-001,49,Baixa
2026-05-13,SKU-000135,DEP-001,5,Baixa
2026-05-13,SKU-000149,DEP-001,41,Média
2026-05-13,SKU-000156,DEP-001,9,Média
2026-05-13,SKU-000184,DEP-001,3,Alta
2026-05-14,SKU-000011,DEP-001,24,Baixa
2026-05-14,SKU-000027,DEP-001,88,Média
2026-05-14,SKU-000045,DEP-001,192,Baixa
2026-05-14,SKU-000068,DEP-001,429,Baixa
2026-05-14,SKU-000069,DEP-001,25,Baixa
2026-05-14,SKU-000070,DEP-001,68,Alta
2026-05-14,SKU-000071,DEP-001,15,Baixa
2026-05-14,SKU-000081,DEP-001,197,Baixa
2026-05-14,SKU-000090,DEP-001,21,Média
2026-05-14,SKU-000099,DEP-001,9,Baixa
2026-05-14,SKU-000100,DEP-001,44,Baixa
2026-05-14,SKU-000135,DEP-001,6,Baixa
2026-05-14,SKU-000149,DEP-001,36,Média
2026-05-14,SKU-000156,DEP-001,7,Média
2026-05-14,SKU-000184,DEP-001,10,Alta
2026-05-15,SKU-000011,DEP-001,39,Baixa
2026-05-15,SKU-000027,DEP-001,80,Média
2026-05-15,SKU-000045,DEP-001,135,Baixa
2026-05-15,SKU-000068,DEP-001,447,Baixa
2026-05-15,SKU-000069,DEP-001,21,Baixa
2026-05-15,SKU-000070,DEP-001,68,Alta
2026-05-15,SKU-000071,DEP-001,15,Baixa
2026-05-15,SKU-000081,DEP-001,161,Baixa
2026-05-15,SKU-000090,DEP-001,35,Média
2026-05-15,SKU-000099,DEP-001,13,Baixa
2026-05-15,SKU-000100,DEP-001,51,Baixa
2026-05-15,SKU-000135,DEP-001,7,Baixa
2026-05-15,SKU-000149,DEP-001,42,Média
2026-05-15,SKU-000156,DEP-001,13,Média
2026-05-15,SKU-000183,DEP-001,13,Baixa
2026-05-15,SKU-000184,DEP-001,9,Alta
2026-05-16,SKU-000011,DEP-001,39,Baixa
2026-05-16,SKU-000045,DEP-001,139,Baixa
2026-05-16,SKU-000068,DEP-001,378,Baixa
2026-05-16,SKU-000070,DEP-001,57,Alta
2026-05-16,SKU-000071,DEP-001,18,Baixa
2026-05-16,SKU-000081,DEP-001,137,Baixa
2026-05-16,SKU-000084,DEP-001,107,Média
2026-05-16,SKU-000090,DEP-001,22,Média
2026-05-16,SKU-000099,DEP-001,8,Baixa
2026-05-16,SKU-000100,DEP-001,49,Baixa
2026-05-16,SKU-000135,DEP-001,7,Baixa
2026-05-16,SKU-000149,DEP-001,42,Média
2026-05-16,SKU-000156,DEP-001,8,Média
2026-05-16,SKU-000183,DEP-001,21,Baixa
2026-05-16,SKU-000184,DEP-001,8,Alta
2026-05-17,SKU-000011,DEP-001,24,Baixa
2026-05-17,SKU-000045,DEP-001,136,Baixa
2026-05-17,SKU-000068,DEP-001,369,Baixa
2026-05-17,SKU-000070,DEP-001,56,Alta
2026-05-17,SKU-000071,DEP-001,14,Baixa
2026-05-17,SKU-000081,DEP-001,192,Baixa
2026-05-17,SKU-000084,DEP-001,185,Média
2026-05-17,SKU-000090,DEP-001,22,Média
2026-05-17,SKU-000099,DEP-001,10,Baixa
2026-05-17,SKU-000149,DEP-001,33,Média
2026-05-17,SKU-000156,DEP-001,12,Média
2026-05-17,SKU-000183,DEP-001,14,Baixa
2026-05-17,SKU-000184,DEP-001,7,Alta
2026-05-18,SKU-000011,DEP-001,29,Baixa
2026-05-18,SKU-000045,DEP-001,124,Baixa
2026-05-18,SKU-000070,DEP-001,67,Alta
2026-05-18,SKU-000071,DEP-001,11,Baixa
2026-05-18,SKU-000081,DEP-001,195,Baixa
2026-05-18,SKU-000084,DEP-001,166,Média
2026-05-18,SKU-000090,DEP-001,29,Média
2026-05-18,SKU-000099,DEP-001,9,Baixa
2026-05-18,SKU-000108,DEP-001,26,Média
2026-05-18,SKU-000149,DEP-001,47,Média
2026-05-18,SKU-000156,DEP-001,8,Média
2026-05-18,SKU-000183,DEP-001,15,Baixa
2026-05-18,SKU-000184,DEP-001,10,Alta
2026-05-19,SKU-000008,DEP-001,116,Média
2026-05-19,SKU-000011,DEP-001,37,Baixa
2026-05-19,SKU-000043,DEP-001,94,Baixa
2026-05-19,SKU-000045,DEP-001,181,Baixa
2026-05-19,SKU-000063,DEP-001,12,Baixa
2026-05-19,SKU-000070,DEP-001,42,Alta
2026-05-19,SKU-000071,DEP-001,12,Baixa
2026-05-19,SKU-000081,DEP-001,119,Baixa
2026-05-19,SKU-000090,DEP-001,28,Média
2026-05-19,SKU-000104,DEP-001,21,Baixa
2026-05-19,SKU-000149,DEP-001,39,Média
2026-05-19,SKU-000156,DEP-001,9,Média
2026-05-19,SKU-000182,DEP-001,5,Baixa
2026-05-19,SKU-000183,DEP-001,14,Baixa
2026-05-19,SKU-000184,DEP-001,6,Alta
2026-05-20,SKU-000011,DEP-001,41,Baixa
2026-05-20,SKU-000043,DEP-001,114,Baixa
2026-05-20,SKU-000045,DEP-001,182,Baixa
2026-05-20,SKU-000046,DEP-001,4,Baixa
2026-05-20,SKU-000055,DEP-001,13,Alta
2026-05-20,SKU-000070,DEP-001,57,Alta
2026-05-20,SKU-000071,DEP-001,15,Baixa
2026-05-20,SKU-000081,DEP-001,211,Baixa
2026-05-20,SKU-000090,DEP-001,24,Média
2026-05-20,SKU-000149,DEP-001,45,Média
2026-05-20,SKU-000156,DEP-001,12,Média
2026-05-20,SKU-000181,DEP-001,18,Baixa
2026-05-20,SKU-000182,DEP-001,15,Baixa
2026-05-20,SKU-000183,DEP-001,13,Baixa
2026-05-20,SKU-000184,DEP-001,6,Alta
2026-05-21,SKU-000011,DEP-001,23,Baixa
2026-05-21,SKU-000043,DEP-001,80,Baixa
2026-05-21,SKU-000045,DEP-001,151,Baixa
2026-05-21,SKU-000046,DEP-001,10,Baixa
2026-05-21,SKU-000048,DEP-001,9,Média
2026-05-21,SKU-000055,DEP-001,41,Alta
2026-05-21,SKU-000062,DEP-001,3,Baixa
2026-05-21,SKU-000070,DEP-001,66,Alta
2026-05-21,SKU-000071,DEP-001,12,Baixa
2026-05-21,SKU-000081,DEP-001,171,Baixa
2026-05-21,SKU-000090,DEP-001,23,Média
2026-05-21,SKU-000149,DEP-001,46,Média
2026-05-21,SKU-000156,DEP-001,10,Média
2026-05-21,SKU-000181,DEP-001,85,Baixa
2026-05-21,SKU-000182,DEP-001,14,Baixa
2026-05-21,SKU-000183,DEP-001,15,Baixa
2026-05-21,SKU-000184,DEP-001,8,Alta
2026-05-22,SKU-000011,DEP-001,30,Baixa
2026-05-22,SKU-000043,DEP-001,78,Baixa
2026-05-22,SKU-000045,DEP-001,175,Baixa
2026-05-22,SKU-000046,DEP-001,8,Baixa
2026-05-22,SKU-000048,DEP-001,26,Média
2026-05-22,SKU-000062,DEP-001,17,Baixa
2026-05-22,SKU-000070,DEP-001,54,Alta
2026-05-22,SKU-000071,DEP-001,10,Baixa
2026-05-22,SKU-000074,DEP-001,175,Baixa
2026-05-22,SKU-000081,DEP-001,126,Baixa
2026-05-22,SKU-000090,DEP-001,25,Média
2026-05-22,SKU-000143,DEP-001,6,Média
2026-05-22,SKU-000149,DEP-001,30,Média
2026-05-22,SKU-000156,DEP-001,13,Média
2026-05-22,SKU-000181,DEP-001,83,Baixa
2026-05-22,SKU-000182,DEP-001,11,Baixa
2026-05-22,SKU-000184,DEP-001,7,Alta
2026-05-22,SKU-000186,DEP-001,6,Média
2026-05-23,SKU-000011,DEP-001,31,Baixa
2026-05-23,SKU-000045,DEP-001,128,Baixa
2026-05-23,SKU-000046,DEP-001,8,Baixa
2026-05-23,SKU-000048,DEP-001,19,Média
2026-05-23,SKU-000062,DEP-001,18,Baixa
2026-05-23,SKU-000071,DEP-001,14,Baixa
2026-05-23,SKU-000074,DEP-001,258,Baixa
2026-05-23,SKU-000081,DEP-001,137,Baixa
2026-05-23,SKU-000082,DEP-001,63,Média
2026-05-23,SKU-000090,DEP-001,32,Média
2026-05-23,SKU-000128,DEP-001,3,Média
2026-05-23,SKU-000143,DEP-001,19,Média
2026-05-23,SKU-000149,DEP-001,48,Média
2026-05-23,SKU-000156,DEP-001,10,Média
2026-05-23,SKU-000181,DEP-001,81,Baixa
2026-05-23,SKU-000182,DEP-001,14,Baixa
2026-05-23,SKU-000184,DEP-001,10,Alta
2026-05-23,SKU-000186,DEP-001,52,Média
2026-05-23,SKU-000198,DEP-001,2,Baixa
2026-05-24,SKU-000011,DEP-001,34,Baixa
2026-05-24,SKU-000017,DEP-001,72,Média
2026-05-24,SKU-000045,DEP-001,128,Baixa
2026-05-24,SKU-000046,DEP-001,9,Baixa
2026-05-24,SKU-000048,DEP-001,29,Média
2026-05-24,SKU-000062,DEP-001,23,Baixa
2026-05-24,SKU-000071,DEP-001,16,Baixa
2026-05-24,SKU-000080,DEP-001,9,Baixa
2026-05-24,SKU-000081,DEP-001,210,Baixa
2026-05-24,SKU-000090,DEP-001,25,Média
2026-05-24,SKU-000128,DEP-001,35,Média
2026-05-24,SKU-000143,DEP-001,16,Média
2026-05-24,SKU-000149,DEP-001,30,Média
2026-05-24,SKU-000181,DEP-001,73,Baixa
2026-05-24,SKU-000182,DEP-001,13,Baixa
2026-05-24,SKU-000184,DEP-001,10,Alta
2026-05-24,SKU-000186,DEP-001,52,Média
2026-05-24,SKU-000198,DEP-001,2,Baixa
2026-05-25,SKU-000011,DEP-001,29,Baixa
2026-05-25,SKU-000017,DEP-001,77,Média
2026-05-25,SKU-000045,DEP-001,168,Baixa
2026-05-25,SKU-000046,DEP-001,7,Baixa
2026-05-25,SKU-000048,DEP-001,28,Média
2026-05-25,SKU-000057,DEP-001,16,Média
2026-05-25,SKU-000071,DEP-001,16,Baixa
2026-05-25,SKU-000080,DEP-001,17,Baixa
2026-05-25,SKU-000090,DEP-001,30,Média
2026-05-25,SKU-000143,DEP-001,17,Média
2026-05-25,SKU-000181,DEP-001,67,Baixa
2026-05-25,SKU-000182,DEP-001,15,Baixa
2026-05-25,SKU-000184,DEP-001,9,Alta
2026-05-25,SKU-000186,DEP-001,49,Média
2026-05-25,SKU-000196,DEP-001,10,Alta
2026-05-25,SKU-000198,DEP-001,2,Baixa
2026-05-26,SKU-000011,DEP-001,37,Baixa
2026-05-26,SKU-000017,DEP-001,58,Média
2026-05-26,SKU-000020,DEP-001,14,Média
2026-05-26,SKU-000045,DEP-001,150,Baixa
2026-05-26,SKU-000046,DEP-001,8,Baixa
2026-05-26,SKU-000048,DEP-001,23,Média
2026-05-26,SKU-000057,DEP-001,75,Média
2026-05-26,SKU-000071,DEP-001,12,Baixa
2026-05-26,SKU-000080,DEP-001,14,Baixa
2026-05-26,SKU-000090,DEP-001,28,Média
2026-05-26,SKU-000143,DEP-001,11,Média
2026-05-26,SKU-000181,DEP-001,57,Baixa
2026-05-26,SKU-000182,DEP-001,15,Baixa
2026-05-26,SKU-000184,DEP-001,7,Alta
2026-05-26,SKU-000186,DEP-001,38,Média
2026-05-26,SKU-000196,DEP-001,34,Alta
2026-05-26,SKU-000198,DEP-001,2,Baixa
2026-05-27,SKU-000011,DEP-001,39,Baixa
2026-05-27,SKU-000017,DEP-001,58,Média
2026-05-27,SKU-000020,DEP-001,12,Média
2026-05-27,SKU-000029,DEP-001,2,Média
2026-05-27,SKU-000045,DEP-001,222,Baixa
2026-05-27,SKU-000046,DEP-001,7,Baixa
2026-05-27,SKU-000048,DEP-001,26,Média
2026-05-27,SKU-000057,DEP-001,57,Média
2026-05-27,SKU-000071,DEP-001,17,Baixa
2026-05-27,SKU-000080,DEP-001,13,Baixa
2026-05-27,SKU-000090,DEP-001,25,Média
2026-05-27,SKU-000110,DEP-001,23,Alta
2026-05-27,SKU-000143,DEP-001,16,Média
2026-05-27,SKU-000181,DEP-001,73,Baixa
2026-05-27,SKU-000182,DEP-001,10,Baixa
2026-05-27,SKU-000184,DEP-001,9,Alta
2026-05-27,SKU-000186,DEP-001,31,Média
2026-05-27,SKU-000196,DEP-001,41,Alta
2026-05-27,SKU-000198,DEP-001,2,Baixa
2026-05-28,SKU-000011,DEP-001,42,Baixa
2026-05-28,SKU-000017,DEP-001,50,Média
2026-05-28,SKU-000020,DEP-001,15,Média
2026-05-28,SKU-000029,DEP-001,11,Média
2026-05-28,SKU-000045,DEP-001,222,Baixa
2026-05-28,SKU-000046,DEP-001,8,Baixa
2026-05-28,SKU-000048,DEP-001,28,Média
2026-05-28,SKU-000057,DEP-001,49,Média
2026-05-28,SKU-000071,DEP-001,10,Baixa
2026-05-28,SKU-000080,DEP-001,13,Baixa
2026-05-28,SKU-000090,DEP-001,37,Média
2026-05-28,SKU-000110,DEP-001,73,Alta
2026-05-28,SKU-000143,DEP-001,20,Média
2026-05-28,SKU-000167,DEP-001,2,Média
2026-05-28,SKU-000181,DEP-001,81,Baixa
2026-05-28,SKU-000182,DEP-001,11,Baixa
2026-05-28,SKU-000184,DEP-001,10,Alta
2026-05-28,SKU-000186,DEP-001,42,Média
2026-05-28,SKU-000191,DEP-001,2,Alta
2026-05-28,SKU-000196,DEP-001,35,Alta
2026-05-28,SKU-000198,DEP-001,1,Baixa
2026-05-29,SKU-000011,DEP-001,38,Baixa
2026-05-29,SKU-000017,DEP-001,58,Média
2026-05-29,SKU-000020,DEP-001,16,Média
2026-05-29,SKU-000029,DEP-001,9,Média
2026-05-29,SKU-000045,DEP-001,137,Baixa
2026-05-29,SKU-000046,DEP-001,10,Baixa
2026-05-29,SKU-000057,DEP-001,68,Média
2026-05-29,SKU-000071,DEP-001,11,Baixa
2026-05-29,SKU-000080,DEP-001,15,Baixa
2026-05-29,SKU-000090,DEP-001,28,Média
2026-05-29,SKU-000110,DEP-001,87,Alta
2026-05-29,SKU-000143,DEP-001,14,Média
2026-05-29,SKU-000167,DEP-001,18,Média
2026-05-29,SKU-000171,DEP-001,176,Média
2026-05-29,SKU-000181,DEP-001,55,Baixa
2026-05-29,SKU-000182,DEP-001,12,Baixa
2026-05-29,SKU-000191,DEP-001,12,Alta
2026-05-29,SKU-000196,DEP-001,46,Alta
2026-05-29,SKU-000198,DEP-001,2,Baixa
2026-05-30,SKU-000011,DEP-001,25,Baixa
2026-05-30,SKU-000017,DEP-001,72,Média
2026-05-30,SKU-000020,DEP-001,13,Média
2026-05-30,SKU-000045,DEP-001,209,Baixa
2026-05-30,SKU-000046,DEP-001,7,Baixa
2026-05-30,SKU-000071,DEP-001,17,Baixa
2026-05-30,SKU-000080,DEP-001,13,Baixa
2026-05-30,SKU-000090,DEP-001,34,Média
2026-05-30,SKU-000110,DEP-001,73,Alta
2026-05-30,SKU-000143,DEP-001,21,Média
2026-05-30,SKU-000167,DEP-001,14,Média
2026-05-30,SKU-000171,DEP-001,255,Média
2026-05-30,SKU-000181,DEP-001,80,Baixa
2026-05-30,SKU-000182,DEP-001,9,Baixa
2026-05-30,SKU-000196,DEP-001,50,Alta
2026-05-30,SKU-000198,DEP-001,1,Baixa
2026-05-31,SKU-000011,DEP-001,30,Baixa
2026-05-31,SKU-000017,DEP-001,78,Média
2026-05-31,SKU-000020,DEP-001,11,Média
2026-05-31,SKU-000045,DEP-001,221,Baixa
2026-05-31,SKU-000046,DEP-001,8,Baixa
2026-05-31,SKU-000071,DEP-001,13,Baixa
2026-05-31,SKU-000080,DEP-001,16,Baixa
2026-05-31,SKU-000088,DEP-001,1,Alta
2026-05-31,SKU-000090,DEP-001,29,Média
2026-05-31,SKU-000132,DEP-001,10,Média
2026-05-31,SKU-000136,DEP-001,14,Média
2026-05-31,SKU-000143,DEP-001,16,Média
2026-05-31,SKU-000167,DEP-001,14,Média
2026-05-31,SKU-000182,DEP-001,12,Baixa
2026-05-31,SKU-000196,DEP-001,46,Alta
2026-06-01,SKU-000007,DEP-001,383,Média
2026-06-01,SKU-000011,DEP-001,35,Baixa
2026-06-01,SKU-000017,DEP-001,59,Média
2026-06-01,SKU-000020,DEP-001,12,Média
2026-06-01,SKU-000045,DEP-001,198,Baixa
2026-06-01,SKU-000046,DEP-001,6,Baixa
2026-06-01,SKU-000071,DEP-001,15,Baixa
2026-06-01,SKU-000080,DEP-001,17,Baixa
2026-06-01,SKU-000088,DEP-001,18,Alta
2026-06-01,SKU-000090,DEP-001,24,Média
2026-06-01,SKU-000132,DEP-001,23,Média
2026-06-01,SKU-000136,DEP-001,16,Média
2026-06-01,SKU-000143,DEP-001,12,Média
2026-06-01,SKU-000146,DEP-001,7,Baixa
2026-06-01,SKU-000161,DEP-001,25,Média
2026-06-01,SKU-000182,DEP-001,9,Baixa
2026-06-01,SKU-000196,DEP-001,31,Alta
2026-06-02,SKU-000007,DEP-001,235,Média
2026-06-02,SKU-000011,DEP-001,24,Baixa
2026-06-02,SKU-000017,DEP-001,74,Média
2026-06-02,SKU-000020,DEP-001,13,Média
2026-06-02,SKU-000045,DEP-001,214,Baixa
2026-06-02,SKU-000046,DEP-001,7,Baixa
2026-06-02,SKU-000071,DEP-001,15,Baixa
2026-06-02,SKU-000080,DEP-001,13,Baixa
2026-06-02,SKU-000088,DEP-001,19,Alta
2026-06-02,SKU-000090,DEP-001,25,Média
2026-06-02,SKU-000132,DEP-001,22,Média
2026-06-02,SKU-000136,DEP-001,13,Média
2026-06-02,SKU-000143,DEP-001,21,Média
2026-06-02,SKU-000146,DEP-001,24,Baixa
2026-06-02,SKU-000159,DEP-001,11,Média
2026-06-02,SKU-000161,DEP-001,184,Média
2026-06-02,SKU-000182,DEP-001,8,Baixa
2026-06-02,SKU-000196,DEP-001,41,Alta
2026-06-03,SKU-000006,DEP-001,6,Baixa
2026-06-03,SKU-000007,DEP-001,263,Média
2026-06-03,SKU-000011,DEP-001,26,Baixa
2026-06-03,SKU-000017,DEP-001,67,Média
2026-06-03,SKU-000020,DEP-001,12,Média
2026-06-03,SKU-000046,DEP-001,11,Baixa
2026-06-03,SKU-000049,DEP-001,6,Média
2026-06-03,SKU-000071,DEP-001,16,Baixa
2026-06-03,SKU-000080,DEP-001,17,Baixa
2026-06-03,SKU-000088,DEP-001,22,Alta
2026-06-03,SKU-000090,DEP-001,28,Média
2026-06-03,SKU-000132,DEP-001,25,Média
2026-06-03,SKU-000136,DEP-001,12,Média
2026-06-03,SKU-000143,DEP-001,12,Média
2026-06-03,SKU-000146,DEP-001,21,Baixa
2026-06-03,SKU-000159,DEP-001,27,Média
2026-06-03,SKU-000182,DEP-001,9,Baixa
2026-06-03,SKU-000196,DEP-001,41,Alta
2026-06-04,SKU-000006,DEP-001,11,Baixa
2026-06-04,SKU-000007,DEP-001,279,Média
2026-06-04,SKU-000017,DEP-001,72,Média
2026-06-04,SKU-000019,DEP-001,4,Média
2026-06-04,SKU-000020,DEP-001,10,Média
2026-06-04,SKU-000046,DEP-001,6,Baixa
2026-06-04,SKU-000049,DEP-001,24,Média
2026-06-04,SKU-000071,DEP-001,12,Baixa
2026-06-04,SKU-000088,DEP-001,14,Alta
2026-06-04,SKU-000090,DEP-001,28,Média
2026-06-04,SKU-000132,DEP-001,25,Média
2026-06-04,SKU-000136,DEP-001,11,Média
2026-06-04,SKU-000143,DEP-001,19,Média
2026-06-04,SKU-000182,DEP-001,14,Baixa
2026-06-04,SKU-000196,DEP-001,35,Alta
2026-06-05,SKU-000006,DEP-001,10,Baixa
2026-06-05,SKU-000007,DEP-001,393,Média
2026-06-05,SKU-000017,DEP-001,77,Média
2026-06-05,SKU-000019,DEP-001,63,Média
2026-06-05,SKU-000020,DEP-001,15,Média
2026-06-05,SKU-000046,DEP-001,6,Baixa
2026-06-05,SKU-000049,DEP-001,20,Média
2026-06-05,SKU-000071,DEP-001,12,Baixa
2026-06-05,SKU-000088,DEP-001,20,Alta
2026-06-05,SKU-000090,DEP-001,34,Média
2026-06-05,SKU-000132,DEP-001,25,Média
2026-06-05,SKU-000136,DEP-001,20,Média
2026-06-05,SKU-000143,DEP-001,12,Média
2026-06-05,SKU-000182,DEP-001,9,Baixa
2026-06-05,SKU-000196,DEP-001,43,Alta
2026-06-06,SKU-000006,DEP-001,7,Baixa
2026-06-06,SKU-000007,DEP-001,362,Média
2026-06-06,SKU-000017,DEP-001,87,Média
2026-06-06,SKU-000019,DEP-001,51,Média
2026-06-06,SKU-000020,DEP-001,17,Média
2026-06-06,SKU-000046,DEP-001,11,Baixa
2026-06-06,SKU-000049,DEP-001,15,Média
2026-06-06,SKU-000071,DEP-001,17,Baixa
2026-06-06,SKU-000088,DEP-001,24,Alta
2026-06-06,SKU-000090,DEP-001,22,Média
2026-06-06,SKU-000132,DEP-001,19,Média
